Number,Input/Output,Automation Name,Category,Units,Current Value,Default Value,Modified,Data Type,Description
1,i/p,ScriptAutoRun,Scripting_Options,"",0,0,"",integer,Automatically run the script before or during analysis
2,i/p,ScriptAutoRun_PythonClasses,Scripting_Options,"",0,0,"",integer,Automatically run the during analysis
3,compatibility,ScriptPythonFunctionType,Scripting_Options,"",0,0,"",integer,Run the script with new classes or old functions
4,i/p,ScriptFileName,Scripting_Options,"",No File Selected,No File Selected,"",OleStr,The name of the script file
5,i/p,ScriptLines_Python,Python_Scripting,"",1,0,yes,integer,Number of lines in Python script
6,i/p,Python_Script,Python_Scripting,"","""""","",yes,OleStr,Python script
7,persistent,OwnerProcessID,Scripting_Options,"",0,0,"",integer,Process ID of the caller (if exists) of this instance of Motor-CAD
8,persistent,DisableSleep,Scripting_Options,"",False,False,"",boolean,When true Motor-CAD will not allow computer to sleep
9,i/p,Full_Winding_Circuit_View,Calc_Options,"",False,False,"",boolean,When this is false then the only a reduced winding circuit is shown in circuit editor
10,setting,CircuitCaseSensitiveSearch,Misc,"",False,False,"",boolean,Case sensitive search in thermal circuit
11,setting,CircuitStartsWithSearch,Misc,"",False,False,"",boolean,Search for a word starting with the input text in thermal circuit
12,i/p,ScriptFileName_Python,Scripting_Options,"",No File Selected,No File Selected,"",OleStr,The name of the Python script file
13,i/p,ActiveXHidden,Scripting_Options,"",True,True,"",boolean,Whether the ActiveX interface is hidden or visible
14,i/p,TVent_Fan_Definition,Through_Vent,"",0,0,"",integer,The through ventilation fan definition
15,i/p,TVent_Shaft_Speed,Through_Vent,rpm,3000,3000,"",double,The reference shaft speed for the through ventilation
16,i/p,TVent_Flow_Rate,Through_Vent,m³/s,0.025,0.025,"",double,The reference flow rate for the through ventilation
17,o/p,Wet_Rotor_Dissipation_Total,Wet_Rotor_Data,Watts,0,0,"",double,Total Dissipation from Wet Rotor Cooling
18,o/p,Flow_Rate_Airgap_Duct_Wall_F,Through_Vent,m³/s,0,0,"",double,The flow rate of the front of the airgap duct wall
19,o/p,Flow_Rate_Airgap_Duct_Wall_R,Through_Vent,m³/s,0,0,"",double,The flow rate of the rear of the airgap duct wall
20,o/p,Flow_Resistance_Airgap_Duct,Through_Vent,kg/m⁷,0,0,"",double,The flow resistance of the airgap duct
21,i/p,Stator_Duct_Friction_k_Adjustment,Through_Vent,"",1,1,"",double,The stator duct friction k adjustment
22,i/p,Stator_Duct_Wall_Roughness,Through_Vent,mm,0.0025,0.0025,"",double,The roughness of the stator ducts
23,i/p,Airgap_Duct_Friction_k_Adjustment,Through_Vent,"",1,1,"",double,The airgap duct friction k adjustment
24,i/p,Airgap_Duct_Wall_Roughness,Through_Vent,mm,0.0025,0.0025,"",double,The roughness of the airgap ducts
25,recommended,IncludeTVentDuctWallFriction,Through_Vent,"",True,True,"",boolean,When enabled the duct wall friction is taken into account in the TVent flow
26,o/p,Stator_Duct_Friction_Factor,Through_Vent,"",1,1,"",double,The stator duct friction factor
27,o/p,Stator_Duct_Re_Number,Through_Vent,"",0,0,"",double,The stator duct reynolds number
28,o/p,k_Stator_Duct_Wall_Friction,Through_Vent,"",0,0,"",double,The stator duct wall k factor
29,o/p,Fluid_Velocity_Stator_Duct,Through_Vent,m/s,0,0,"",double,The fluid velocity in the stator duct
30,o/p,Fluid_Velocity_Airgap_Duct,Through_Vent,m/s,0,0,"",double,The fluid velocity of the airgap duct
31,o/p,Airgap_Duct_Re_Number,Through_Vent,"",0,0,"",double,The airgap duct reynolds number
32,o/p,Airgap_Duct_Friction_Factor,Through_Vent,"",1,1,"",double,The airgap duct friction factor
33,i/p,Notes_Stator_Duct,Through_Vent,"","","","",OleStr,The notes for the stator duct
34,i/p,Notes_Airgap_Duct,Through_Vent,"","","","",OleStr,The notes for the airgap duct
35,o/p,k_Airgap_Duct_Wall_Friction,Through_Vent,"",0,0,"",double,The airgap duct k factor
36,i/p,StatorCopperLossesbyCurrent,Loss_Current_Values,"",False,False,"",boolean,When selected the stator losses are specified by current and resistance
37,i/p,MainWindingCurrentAtRefTemp,Loss_Current_Values,Amps,10,10,"",double,The current in the main winding at the reference temperature in Amps
38,i/p,MainWindingResistanceAtRefTemp,Loss_Current_Values,Ohms,3,3,"",double,The resistance of the main winding at the reference temperature
39,i/p,AuxWindingCurrentAtRefTemp,Loss_Current_Values,Amps,5,5,"",double,The current in the auxiliary winding at the reference temperature in Amps
40,i/p,AuxWindingResistanceAtRefTemp,Loss_Current_Values,Ohms,1,1,"",double,The resistance of the aux winding at the reference temperature
41,i/p,RefTempForWindingResistances,Loss_Current_Values,°C,20,20,"",double,The reference temperature for the winding resistances
42,o/p,NoMushConductorsDrawn,Winding_Design,"",100,0,yes,integer,This number of conductors drawn for mush winding (this may not be the number of conductors specified)
43,setting,ConductorsSlotBase,Winding_Design,mm,0.05,0.1,yes,double,This minimum separation distance from conductors to the slot base
44,setting,ConductorsSlotTooth,Winding_Design,mm,0.05,0.1,yes,double,This minimum separation distance from conductors to the tooth
45,setting,ConductorsVertical,Winding_Design,mm,0.1,0.1,"",double,This minimum separation distance between conductors in slot depth direction
46,setting,ConductorsHorizontal,Winding_Design,mm,0.1,0.1,"",double,This minimum separation distance between conductors in slot width direction
47,setting,ConductorSeparation,Winding_Design,mm,0.1,0.1,"",double,This minimum separation distance between conductors
48,i/p,WJ_Duct_Wall_Roughness_Active,Water_Jacket_Data,mm,0.0025,0.0025,"",double,The roughness of the housing water jacket ducts [Active]
