1 7096 ElementsTable

TriIndex, Node1 , Node2 , Node3 ,RegCode ,     Pt     ,    Phys    ,     Pj     ,   Peddy    
  [-]   ,  [-]  ,  [-]  ,  [-]  ,        ,   [W/kg]   ,   [W/kg]   ,   [W/kg]   ,   [W/kg]   
--------,-------,-------,-------, -------, -----------, -----------, -----------, -----------
       1,   1644,   1645,   1646,      19,  58320.3053,      0.0000,  58320.3053,      0.0000
       2,   1644,   1646,   1773,      19,  23963.8699,      0.0000,  23963.8699,      0.0000
       3,   1646,   1647,   1773,      19,  40106.7153,      0.0000,  40106.7153,      0.0000
       4,   1647,   1774,   1773,      19,  10159.9589,      0.0000,  10159.9589,      0.0000
       5,   1647,   1648,   1774,      19,  17456.5064,      0.0000,  17456.5064,      0.0000
       6,   1648,   1775,   1774,      19,   8027.9274,      0.0000,   8027.9274,      0.0000
       7,   1648,   1649,   1775,      19,  10058.5071,      0.0000,  10058.5071,      0.0000
       8,   1649,   1650,   1775,      19,   9772.4865,      0.0000,   9772.4865,      0.0000
       9,   1643,   1644,   1773,      19,  42274.4223,      0.0000,  42274.4223,      0.0000
      10,   1643,   1773,   1776,      19,  15544.0182,      0.0000,  15544.0182,      0.0000
      11,   1773,   1774,   1776,      19,  23963.8699,      0.0000,  23963.8699,      0.0000
      12,   1774,   1777,   1776,      19,   5742.8332,      0.0000,   5742.8332,      0.0000
      13,   1774,   1775,   1777,      19,  10159.9589,      0.0000,  10159.9589,      0.0000
      14,   1775,   1778,   1777,      19,   5902.1531,      0.0000,   5902.1531,      0.0000
      15,   1775,   1650,   1778,      19,   8027.9274,      0.0000,   8027.9274,      0.0000
      16,   1650,   1651,   1778,      19,   8835.0810,      0.0000,   8835.0810,      0.0000
      17,   1642,   1643,   1776,      19,  26192.6368,      0.0000,  26192.6368,      0.0000
      18,   1642,   1776,   1779,      19,  13617.1348,      0.0000,  13617.1348,      0.0000
      19,   1776,   1777,   1779,      19,  15544.0182,      0.0000,  15544.0182,      0.0000
      20,   1777,   1780,   1779,      19,   4558.2914,      0.0000,   4558.2914,      0.0000
      21,   1777,   1778,   1780,      19,   5742.8332,      0.0000,   5742.8332,      0.0000
      22,   1778,   1781,   1780,      19,   5829.5579,      0.0000,   5829.5579,      0.0000
      23,   1778,   1651,   1781,      19,   5902.1531,      0.0000,   5902.1531,      0.0000
      24,   1651,   1652,   1781,      19,   9592.0858,      0.0000,   9592.0858,      0.0000
      25,   1641,   1642,   1779,      19,  22793.5297,      0.0000,  22793.5297,      0.0000
      26,   1641,   1779,   1782,      19,  12584.2929,      0.0000,  12584.2929,      0.0000
      27,   1779,   1780,   1782,      19,  13617.1348,      0.0000,  13617.1348,      0.0000
      28,   1780,   1783,   1782,      19,   4883.0893,      0.0000,   4883.0893,      0.0000
      29,   1780,   1781,   1783,      19,   4558.2914,      0.0000,   4558.2914,      0.0000
      30,   1781,   1784,   1783,      19,   7274.4797,      0.0000,   7274.4797,      0.0000
      31,   1781,   1652,   1784,      19,   5829.5579,      0.0000,   5829.5579,      0.0000
      32,   1652,   1629,   1784,      19,  11808.9526,      0.0000,  11808.9526,      0.0000
      33,   1640,   1641,   1782,      19,  22161.1153,      0.0000,  22161.1153,      0.0000
      34,   1640,   1782,   1785,      19,  10365.8964,      0.0000,  10365.8964,      0.0000
      35,   1782,   1783,   1785,      19,  12584.2929,      0.0000,  12584.2929,      0.0000
      36,   1783,   1786,   1785,      19,   6083.2264,      0.0000,   6083.2264,      0.0000
      37,   1783,   1784,   1786,      19,   4883.0893,      0.0000,   4883.0893,      0.0000
      38,   1784,   1787,   1786,      19,  10054.9334,      0.0000,  10054.9334,      0.0000
      39,   1784,   1629,   1787,      19,   7274.4797,      0.0000,   7274.4797,      0.0000
      40,   1629,   1630,   1787,      19,  15420.7146,      0.0000,  15420.7146,      0.0000
      41,   1639,   1640,   1785,      19,  18478.1378,      0.0000,  18478.1378,      0.0000
      42,   1639,   1785,   1788,      19,   8800.2084,      0.0000,   8800.2084,      0.0000
      43,   1785,   1786,   1788,      19,  10365.8964,      0.0000,  10365.8964,      0.0000
      44,   1786,   1789,   1788,      19,   8636.1838,      0.0000,   8636.1838,      0.0000
      45,   1786,   1787,   1789,      19,   6083.2264,      0.0000,   6083.2264,      0.0000
      46,   1787,   1790,   1789,      19,  14284.4985,      0.0000,  14284.4985,      0.0000
      47,   1787,   1630,   1790,      19,  10054.9334,      0.0000,  10054.9334,      0.0000
      48,   1630,   1631,   1790,      19,  20484.6288,      0.0000,  20484.6288,      0.0000
      49,   1638,   1639,   1788,      19,  12896.8631,      0.0000,  12896.8631,      0.0000
      50,   1638,   1788,   1791,      19,  10767.0546,      0.0000,  10767.0546,      0.0000
      51,   1788,   1789,   1791,      19,   8800.2084,      0.0000,   8800.2084,      0.0000
      52,   1789,   1792,   1791,      19,  13361.3202,      0.0000,  13361.3202,      0.0000
      53,   1789,   1790,   1792,      19,   8636.1838,      0.0000,   8636.1838,      0.0000
      54,   1790,   1793,   1792,      19,  20229.1299,      0.0000,  20229.1299,      0.0000
      55,   1790,   1631,   1793,      19,  14284.4985,      0.0000,  14284.4985,      0.0000
      56,   1631,   1632,   1793,      19,  27208.7360,      0.0000,  27208.7360,      0.0000
      57,   1637,   1638,   1791,      19,  10633.7463,      0.0000,  10633.7463,      0.0000
      58,   1636,   1637,   1791,      19,  13879.6569,      0.0000,  13879.6569,      0.0000
      59,   1636,   1791,   1792,      19,  10767.0546,      0.0000,  10767.0546,      0.0000
      60,   1635,   1636,   1792,      19,  18098.8261,      0.0000,  18098.8261,      0.0000
      61,   1635,   1792,   1793,      19,  13361.3202,      0.0000,  13361.3202,      0.0000
      62,   1634,   1635,   1793,      19,  26337.5208,      0.0000,  26337.5208,      0.0000
      63,   1632,   1634,   1793,      19,  20229.1299,      0.0000,  20229.1299,      0.0000
      64,   1632,   1633,   1634,      19,  31966.7205,      0.0000,  31966.7205,      0.0000
      65,   1668,   1669,   1670,      20,  13810.1340,      0.0000,  13810.1340,      0.0000
      66,   1668,   1670,   1794,      20,   7681.4513,      0.0000,   7681.4513,      0.0000
      67,   1670,   1671,   1794,      20,  10026.4488,      0.0000,  10026.4488,      0.0000
      68,   1671,   1795,   1794,      20,   4033.3817,      0.0000,   4033.3817,      0.0000
      69,   1671,   1672,   1795,      20,   4958.7271,      0.0000,   4958.7271,      0.0000
      70,   1672,   1796,   1795,      20,   4810.4075,      0.0000,   4810.4075,      0.0000
      71,   1672,   1673,   1796,      20,   4599.6222,      0.0000,   4599.6222,      0.0000
      72,   1673,   1674,   1796,      20,   6509.6752,      0.0000,   6509.6752,      0.0000
      73,   1667,   1668,   1794,      20,  11867.8186,      0.0000,  11867.8186,      0.0000
      74,   1667,   1794,   1797,      20,   6558.5403,      0.0000,   6558.5403,      0.0000
      75,   1794,   1795,   1797,      20,   7681.4513,      0.0000,   7681.4513,      0.0000
      76,   1795,   1798,   1797,      20,   3454.9346,      0.0000,   3454.9346,      0.0000
      77,   1795,   1796,   1798,      20,   4033.3817,      0.0000,   4033.3817,      0.0000
      78,   1796,   1799,   1798,      20,   4653.0172,      0.0000,   4653.0172,      0.0000
      79,   1796,   1674,   1799,      20,   4810.4075,      0.0000,   4810.4075,      0.0000
      80,   1674,   1675,   1799,      20,   6691.2027,      0.0000,   6691.2027,      0.0000
      81,   1666,   1667,   1797,      20,  10263.5786,      0.0000,  10263.5786,      0.0000
      82,   1666,   1797,   1800,      20,   5906.8708,      0.0000,   5906.8708,      0.0000
      83,   1797,   1798,   1800,      20,   6558.5403,      0.0000,   6558.5403,      0.0000
      84,   1798,   1801,   1800,      20,   3383.1627,      0.0000,   3383.1627,      0.0000
      85,   1798,   1799,   1801,      20,   3454.9346,      0.0000,   3454.9346,      0.0000
      86,   1799,   1802,   1801,      20,   5014.4593,      0.0000,   5014.4593,      0.0000
      87,   1799,   1675,   1802,      20,   4653.0172,      0.0000,   4653.0172,      0.0000
      88,   1675,   1676,   1802,      20,   7343.5226,      0.0000,   7343.5226,      0.0000
      89,   1665,   1666,   1800,      20,   9166.4533,      0.0000,   9166.4533,      0.0000
      90,   1665,   1800,   1803,      20,   5555.5159,      0.0000,   5555.5159,      0.0000
      91,   1800,   1801,   1803,      20,   5906.8708,      0.0000,   5906.8708,      0.0000
      92,   1801,   1804,   1803,      20,   3664.6511,      0.0000,   3664.6511,      0.0000
      93,   1801,   1802,   1804,      20,   3383.1627,      0.0000,   3383.1627,      0.0000
      94,   1802,   1805,   1804,      20,   5746.5846,      0.0000,   5746.5846,      0.0000
      95,   1802,   1676,   1805,      20,   5014.4593,      0.0000,   5014.4593,      0.0000
      96,   1676,   1653,   1805,      20,   8349.0909,      0.0000,   8349.0909,      0.0000
      97,   1664,   1665,   1803,      20,   8363.5005,      0.0000,   8363.5005,      0.0000
      98,   1664,   1803,   1806,      20,   5439.8908,      0.0000,   5439.8908,      0.0000
      99,   1803,   1804,   1806,      20,   5555.5159,      0.0000,   5555.5159,      0.0000
     100,   1804,   1807,   1806,      20,   4245.1318,      0.0000,   4245.1318,      0.0000
     101,   1804,   1805,   1807,      20,   3664.6511,      0.0000,   3664.6511,      0.0000
     102,   1805,   1808,   1807,      20,   6795.2553,      0.0000,   6795.2553,      0.0000
     103,   1805,   1653,   1808,      20,   5746.5846,      0.0000,   5746.5846,      0.0000
     104,   1653,   1654,   1808,      20,   9669.0064,      0.0000,   9669.0064,      0.0000
     105,   1663,   1664,   1806,      20,   7744.2647,      0.0000,   7744.2647,      0.0000
     106,   1663,   1806,   1809,      20,   5592.3483,      0.0000,   5592.3483,      0.0000
     107,   1806,   1807,   1809,      20,   5439.8908,      0.0000,   5439.8908,      0.0000
     108,   1807,   1810,   1809,      20,   5142.4952,      0.0000,   5142.4952,      0.0000
     109,   1807,   1808,   1810,      20,   4245.1318,      0.0000,   4245.1318,      0.0000
     110,   1808,   1811,   1810,      20,   8174.0637,      0.0000,   8174.0637,      0.0000
     111,   1808,   1654,   1811,      20,   6795.2553,      0.0000,   6795.2553,      0.0000
     112,   1654,   1655,   1811,      20,  11333.6099,      0.0000,  11333.6099,      0.0000
     113,   1662,   1663,   1809,      20,   7316.2389,      0.0000,   7316.2389,      0.0000
     114,   1662,   1809,   1812,      20,   6160.2376,      0.0000,   6160.2376,      0.0000
     115,   1809,   1810,   1812,      20,   5592.3483,      0.0000,   5592.3483,      0.0000
     116,   1810,   1813,   1812,      20,   6467.6396,      0.0000,   6467.6396,      0.0000
     117,   1810,   1811,   1813,      20,   5142.4952,      0.0000,   5142.4952,      0.0000
     118,   1811,   1814,   1813,      20,   9989.1955,      0.0000,   9989.1955,      0.0000
     119,   1811,   1655,   1814,      20,   8174.0637,      0.0000,   8174.0637,      0.0000
     120,   1655,   1656,   1814,      20,  13480.5650,      0.0000,  13480.5650,      0.0000
