"Case Range","1",,,"2",,,"3",,,"4",,,"5",,,"6",,,"7",,,"8"
"Time, s","R4_",,"Time, s","R4_",,"Time, s","R4_",,"Time, s","R4_",,"Time, s","R4_",,"Time, s","R4_",,"Time, s","R4_",,"Time, s","R4_"
"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0"
"0.000125","13017197.6525",,"4.16666666667e-05","13269907.9492",,"2.5e-05","13263854.5853",,"1.78571428571e-05","13232475.2483",,"1.38888888889e-05","13204399.8135",,"1.13636363636e-05","13183410.9197",,"9.61538461538e-06","13168711.2385",,"8.33333333333e-06","13159007.8556"
"0.00025","9388183.58735",,"8.33333333333e-05","9898053.77273",,"5e-05","10561356.4573",,"3.57142857143e-05","11090143.2359",,"2.77777777778e-05","11503553.1522",,"2.27272727273e-05","11829625.4963",,"1.92307692308e-05","12089696.1527",,"1.66666666667e-05","12299381.8895"
"0.000375","5398762.29681",,"0.000125","4947399.07981",,"7.5e-05","5797918.14654",,"5.35714285714e-05","6755514.84461",,"4.16666666667e-05","7656058.3361",,"3.40909090909e-05","8462915.97707",,"2.88461538462e-05","9172157.5382",,"2.5e-05","9790294.90272"
"0.0005","3303146.10986",,"0.000166666666667","1715823.39165",,"0.0001","2048934.46812",,"7.14285714286e-05","2744165.40709",,"5.55555555556e-05","3574948.84715",,"4.54545454545e-05","4449637.14519",,"3.84615384615e-05","5319050.78398",,"3.33333333333e-05","6155554.06792"
"0.000625","2995714.27977",,"0.000208333333333","608862.076039",,"0.000125","497650.497116",,"8.92857142857e-05","723434.818597",,"6.94444444444e-05","1129350.81208",,"5.68181818182e-05","1666381.06787",,"4.80769230769e-05","2295399.04966",,"4.16666666667e-05","2982645.83026"
"0.00075","3633369.56843",,"0.00025","419466.397093",,"0.00015","113783.970604",,"0.000107142857143","113148.078818",,"8.33333333333e-05","210976.272564",,"6.81818181818e-05","403964.474926",,"5.76923076923e-05","694145.06905",,"5e-05","1073456.01803"
"0.000875","4590825.88296",,"0.000291666666667","588522.457281",,"0.000175","68864.4333626",,"0.000125","12088.6860782",,"9.72222222222e-05","14399.7011555",,"7.95454545455e-05","45479.5643025",,"6.73076923077e-05","123059.088519",,"5.83333333333e-05","261613.232993"
"0.001","5222487.01841",,"0.000333333333333","894907.811767",,"0.0002","105612.711172",,"0.000142857142857","3328.32844996",,"0.000111111111111","927.061865816",,"9.09090909091e-05","341.995202884",,"7.69230769231e-05","2784.78515238",,"6.66666666667e-05","25644.4827204"
"0.001125","5213648.54207",,"0.000375","1119670.80196",,"0.000225","154234.090459",,"0.000160714285714","3373.9371633",,"0.000125","9429.24483404",,"0.000102272727273","21496.8262519",,"8.65384615385e-05","16898.5622373",,"7.5e-05","4936.34198679"
"0.00125","4778946.16237",,"0.000416666666667","1181881.59534",,"0.00025","176284.693803",,"0.000178571428571","2727.8411436",,"0.000138888888889","20571.9004511",,"0.000113636363636","54819.8416426",,"9.61538461538e-05","66032.8925623",,"8.33333333333e-05","54708.7675767"
"0.001375","4195982.18077",,"0.000458333333333","1125328.01898",,"0.000275","170200.673723",,"0.000196428571429","981.485677242",,"0.000152777777778","35527.2385024",,"0.000125","94120.6956612",,"0.000105769230769","128062.701612",,"9.16666666667e-05","131324.991897"
"0.0015","3756307.92508",,"0.0005","1064499.41263",,"0.0003","163050.071766",,"0.000214285714286","229.941852991",,"0.000166666666667","49357.404332",,"0.000136363636364","130875.581428",,"0.000115384615385","189532.233831",,"0.0001","213845.409152"
"0.001625","3330340.33515",,"0.000541666666667","969395.542364",,"0.000325","146475.995257",,"0.000232142857143","17.7715716076",,"0.000180555555556","62809.8732838",,"0.000147727272727","163385.238199",,"0.000125","244085.753465",,"0.000108333333333","289859.067836"
