"Case Range","1",,,"2",,,"3",,,"4",,,"5",,,"6",,,"7",,,"8"
"Time, s","R4_ (Absolute)",,"Time, s","R4_ (Absolute)",,"Time, s","R4_ (Absolute)",,"Time, s","R4_ (Absolute)",,"Time, s","R4_ (Absolute)",,"Time, s","R4_ (Absolute)",,"Time, s","R4_ (Absolute)",,"Time, s","R4_ (Absolute)"
"0","0.243923031482",,"0","0.243923031482",,"0","0.243923031482",,"0","0.243923031482",,"0","0.243923031482",,"0","0.243923031482",,"0","0.243923031482",,"0","0.243923031482"
"0.000125","0.247533418086",,"4.16666666667e-05","0.246153857442",,"2.5e-05","0.245296046852",,"1.78571428571e-05","0.244807350749",,"1.38888888889e-05","0.244508566355",,"1.13636363636e-05","0.244315447314",,"9.61538461538e-06","0.244185332968",,"8.33333333333e-06","0.244095026376"
"0.00025","0.247283225854",,"8.33333333333e-05","0.247539568955",,"5e-05","0.246679968166",,"3.57142857143e-05","0.245997289958",,"2.77777777778e-05","0.24550111785",,"2.27272727273e-05","0.245137977745",,"1.92307692308e-05","0.244866970342",,"1.66666666667e-05","0.244660834159"
"0.000375","0.240322084267",,"0.000125","0.2451308746",,"7.5e-05","0.245834340624",,"5.35714285714e-05","0.245827835741",,"4.16666666667e-05","0.245661272265",,"3.40909090909e-05","0.2454662028",,"2.88461538462e-05","0.245279537389",,"2.5e-05","0.245111258557"
"0.0005","0.227948463711",,"0.000166666666667","0.238377863987",,"0.0001","0.241771062258",,"7.14285714286e-05","0.243243974549",,"5.55555555556e-05","0.243983146983",,"4.54545454545e-05","0.244381348915",,"3.84615384615e-05","0.244600691032",,"3.33333333333e-05","0.244718267272"
"0.000625","0.213547028428",,"0.000208333333333","0.228872648441",,"0.000125","0.235141093447",,"8.92857142857e-05","0.238403724608",,"6.94444444444e-05","0.240349709717",,"5.68181818182e-05","0.241608692695",,"4.80769230769e-05","0.242466374085",,"4.16666666667e-05","0.243070070856"
"0.00075","0.200482436183",,"0.00025","0.218854658295",,"0.00015","0.22742359077",,"0.000107142857143","0.232295000725",,"8.33333333333e-05","0.235415218898",,"6.81818181818e-05","0.237566984852",,"5.76923076923e-05","0.239124713864",,"5e-05","0.24028951363"
"0.000875","0.190003617763",,"0.000291666666667","0.209826895649",,"0.000175","0.219899962841",,"0.000125","0.225961369351",,"9.72222222222e-05","0.23002016005",,"7.95454545455e-05","0.232928986974",,"6.73076923077e-05","0.23511062096",,"5.83333333333e-05","0.236798089772"
"0.001","0.182428637793",,"0.000333333333333","0.202619711185",,"0.0002","0.213445775091",,"0.000142857142857","0.220216603418",,"0.000111111111111","0.224893056073",,"9.09090909091e-05","0.228336782898",,"7.69230769231e-05","0.230985082723",,"6.66666666667e-05","0.233082776617"
"0.001125","0.176851205297",,"0.000375","0.19723015823",,"0.000225","0.208364120216",,"0.000160714285714","0.215475811922",,"0.000125","0.220485219327",,"0.000102272727273","0.22424311447",,"8.65384615385e-05","0.227185290387",,"7.5e-05","0.229556615417"
"0.00125","0.171715356444",,"0.000416666666667","0.19297067886",,"0.00025","0.204402460543",,"0.000178571428571","0.211710460647",,"0.000138888888889","0.216893184993",,"0.000113636363636","0.220817074975",,"9.61538461538e-05","0.223922115128",,"8.33333333333e-05","0.226453325466"
"0.001375","0.16560077459",,"0.000458333333333","0.188816667644",,"0.000275","0.200925742473",,"0.000196428571429","0.208539479832",,"0.000152777777778","0.213902259315",,"0.000125","0.217956985883",,"0.000105769230769","0.221172502476",,"9.16666666667e-05","0.223805442441"
"0.0015","0.157969005869",,"0.0005","0.184017058331",,"0.0003","0.197321731829",,"0.000214285714286","0.205496743174",,"0.000166666666667","0.211164844513",,"0.000136363636364","0.21540835632",,"0.000115384615385","0.218755154984",,"0.0001","0.221489545845"
"0.001625","0.149448798689",,"0.000541666666667","0.178463635345",,"0.000325","0.193325258454",,"0.000232142857143","0.202302610012",,"0.000180555555556","0.208424217582",,"0.000147727272727","0.212947154578",,"0.000125","0.216479757915",,"0.000108333333333","0.219346999489"
"0.00175","0.139939948405",,"0.000583333333333","0.171973900173",,"0.00035","0.188709138521",,"0.00025","0.198735603415",,"0.000194444444444","0.205480293099",,"0.000159090909091","0.210397484902",,"0.000134615384615","0.214193910213",,"0.000116666666667","0.217247074087"
"0.001875","0.128934246231",,"0.000625","0.164141233492",,"0.000375","0.18311629063",,"0.000267857142857","0.194488701685",,"0.000208333333333","0.202071512706",,"0.000170454545455","0.207537233874",,"0.000144230769231","0.211709160332",,"0.000125","0.215029804317"
