"Case Range","1",,,"2",,,"3",,,"4",,,"5",,,"6",,,"7",,,"8"
"Time, s","R4_ (Z)",,"Time, s","R4_ (Z)",,"Time, s","R4_ (Z)",,"Time, s","R4_ (Z)",,"Time, s","R4_ (Z)",,"Time, s","R4_ (Z)",,"Time, s","R4_ (Z)",,"Time, s","R4_ (Z)"
"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0"
"0.000125","-27893998.8795",,"4.16666666667e-05","-28163458.4428",,"2.5e-05","-28157034.0159",,"1.78571428571e-05","-28123707.646",,"1.38888888889e-05","-28093856.6708",,"1.13636363636e-05","-28071519.666",,"9.61538461538e-06","-28055865.2393",,"8.33333333333e-06","-28045526.8332"
"0.00025","-23688786.6408",,"8.33333333333e-05","-24323548.5346",,"5e-05","-25125336.095",,"3.57142857143e-05","-25746642.7641",,"2.77777777778e-05","-26222133.9323",,"2.27272727273e-05","-26591174.9562",,"1.92307692308e-05","-26881885.2259",,"1.66666666667e-05","-27114005.0554"
"0.000375","-17963838.114",,"0.000125","-17196517.3218",,"7.5e-05","-18616072.8338",,"5.35714285714e-05","-20094687.46",,"4.16666666667e-05","-21392160.409",,"3.40909090909e-05","-22491169.7849",,"2.88461538462e-05","-23414656.0309",,"2.5e-05","-24190782.4827"
"0.0005","-14051281.0907",,"0.000166666666667","-10127175.1603",,"0.0001","-11066647.1664",,"7.14285714286e-05","-12807287.8962",,"5.55555555556e-05","-14617965.9359",,"4.54545454545e-05","-16308511.6431",,"3.84615384615e-05","-17830728.9374",,"3.33333333333e-05","-19181634.2039"
"0.000625","-13381420.6866",,"0.000208333333333","-6032696.70464",,"0.000125","-5453988.91141",,"8.92857142857e-05","-6575847.50343",,"6.94444444444e-05","-8216114.13657",,"5.68181818182e-05","-9980198.76934",,"4.80769230769e-05","-11713350.2125",,"4.16666666667e-05","-13352201.3521"
"0.00075","-14736923.0804",,"0.00025","-5007265.47498",,"0.00015","-2607909.83359",,"0.000107142857143","-2600612.35625",,"8.33333333333e-05","-3551148.52711",,"6.81818181818e-05","-4913869.47986",,"5.76923076923e-05","-6441353.75506",,"5e-05","-8010214.70569"
"0.000875","-16565228.8578",,"0.000291666666667","-5931076.82315",,"0.000175","-2028848.03503",,"0.000125","-850044.338995",,"9.72222222222e-05","-927745.313185",,"7.95454545455e-05","-1648770.38177",,"6.73076923077e-05","-2712119.84502",,"5.83333333333e-05","-3954411.70923"
"0.001","-17668135.2072",,"0.000333333333333","-7313767.98496",,"0.0002","-2512523.45832",,"0.000142857142857","-446031.076113",,"0.000111111111111","235399.961787",,"9.09090909091e-05","142975.63586",,"7.69230769231e-05","-407988.457842",,"6.66666666667e-05","-1238080.83558"
"0.001125","-17653178.2029",,"0.000375","-8180826.94994",,"0.000225","-3036282.78945",,"0.000160714285714","-449076.701954",,"0.000125","750741.607207",,"0.000102272727273","1133546.14069",,"8.65384615385e-05","1005025.09797",,"7.5e-05","543193.606268"
"0.00125","-16901221.6961",,"0.000416666666667","-8405025.09351",,"0.00025","-3246080.84817",,"0.000178571428571","-403795.586021",,"0.000138888888889","1108891.96488",,"0.000113636363636","1810176.48056",,"9.61538461538e-05","1986699.53656",,"8.33333333333e-05","1808341.69222"
"0.001375","-15836851.5983",,"0.000458333333333","-8201468.01761",,"0.000275","-3189573.88587",,"0.000196428571429","-242211.083644",,"0.000152777777778","1457245.60869",,"0.000125","2371890.27118",,"0.000105769230769","2766708.21271",,"9.16666666667e-05","2801726.39008"
"0.0015","-14984167.626",,"0.0005","-7976727.25388",,"0.0003","-3121853.55541",,"0.000214285714286","-117236.013684",,"0.000166666666667","1717624.33992",,"0.000136363636364","2796928.35348",,"0.000115384615385","3365840.79683",,"0.0001","3575213.61182"
"0.001625","-14109003.4019",,"0.000541666666667","-7612065.88667",,"0.000325","-2958933.86457",,"0.000232142857143","32592.2953646",,"0.000180555555556","1937608.30881",,"0.000147727272727","3125060.55601",,"0.000125","3819647.14751",,"0.000108333333333","4162415.93139"
"0.00175","-12806936.2721",,"0.000583333333333","-6697210.41457",,"0.00035","-2329600.47959",,"0.00025","533849.84218",,"0.000194444444444","2400243.90001",,"0.000159090909091","3600736.9156",,"0.000134615384615","4339513.07284",,"0.000116666666667","4745824.24622"
"0.001875","-11394742.7929",,"0.000625","-5388591.67939",,"0.000375","-1234416.3783",,"0.000267857142857","1482176.88165",,"0.000208333333333","3259586.4512",,"0.000170454545455","4411990.38581",,"0.000144230769231","5131632.16918",,"0.000125","5540022.41165"
"0.002","-9800348.63814",,"0.000666666666667","-3690358.75596",,"0.0004","336530.344917",,"0.000285714285714","2916659.15495",,"0.000222222222222","4582099.61935",,"0.000181818181818","5648077.97683",,"0.000153846153846","6303321.28052",,"0.000133333333333","6666119.9385"
"0.002125","-7904680.34146",,"0.000708333333333","-1470628.92771",,"0.000425","2508152.60288",,"0.000303571428571","4958141.48818",,"0.000236111111111","6487401.23785",,"0.000193181818182","7429561.52229",,"0.000163461538462","7976535.09048",,"0.000141666666667","8247347.98274"
"0.00225","-6047244.85534",,"0.00075","959896.735004",,"0.00045","5062687.7615",,"0.000321428571429","7474229.82691",,"0.00025","8910303.51878",,"0.000204545454545","9743070.27013",,"0.000173076923077","10178881.6159",,"0.00015","10343572.9475"
"0.002375","-4686541.97386",,"0.000791666666667","3058303.52037",,"0.000475","7525517.80159",,"0.000339285714286","10071661.5086",,"0.000263888888889","11533216.1623",,"0.000215909090909","12337506.2185",,"0.000182692307692","12717008.5326",,"0.000158333333333","12811144.4165"
"0.0025","-3636851.1839",,"0.000833333333333","4728498.74199",,"0.0005","9691400.87386",,"0.000357142857143","12501518.5395",,"0.000277777777778","14094566.5748",,"0.000227272727273","14955694.3424",,"0.000192307692308","15347530.3127",,"0.000166666666667","15425531.8439"
"0.002625","-2489855.54339",,"0.000875","6251228.99004",,"0.000525","11678330.3953",,"0.000375","14783630.7635",,"0.000291666666667","16552818.509",,"0.000238636363636","17516198.2457",,"0.000201923076923","17963302.9721",,"0.000175","18064276.0715"
"0.00275","-1469662.96593",,"0.000916666666667","7466676.38794",,"0.00055","13363593.2474",,"0.000392857142857","16815667.1988",,"0.000305555555556","18817193.1642",,"0.00025","19935229.5109",,"0.000211538461538","20484417.5721",,"0.000183333333333","20650332.8145"
"0.002875","-694187.202668",,"0.000958333333333","8281870.90423",,"0.000575","14653116.0388",,"0.000410714285714","18499030.5839",,"0.000319444444444","20785275.7688",,"0.000261363636364","22107576.0797",,"0.000221153846154","22804243.2801",,"0.000191666666667","23076503.5497"
"0.003","274735.815635",,"0.001","9029279.69023",,"0.0006","15760354.8874",,"0.000428571428571","19967089.2279",,"0.000333333333333","22535210.6638",,"0.000272727272727","24071094.6738",,"0.000230769230769","24930253.0194",,"0.0002","25326840.9358"
"0.003125","1629527.6028",,"0.00104166666667","10039855.4647",,"0.000625","17014895.8195",,"0.000446428571429","21516338.5287",,"0.000347222222222","24321724.6451",,"0.000284090909091","26037931.8453",,"0.000240384615385","27034482.1078",,"0.000208333333333","27536887.6391"
"0.00325","3670945.63977",,"0.00108333333333","11655617.2012",,"0.00065","18676518.6925",,"0.000464285714286","23359312.5604",,"0.000361111111111","26336187.1199",,"0.000295454545455","28189768.8588",,"0.00025","29292438.514",,"0.000216666666667","29875777.6534"
"0.003375","5257741.821",,"0.001125","13049813.4386",,"0.000675","20209956.7935",,"0.000482142857143","25132565.0784",,"0.000375","28325776.7907",,"0.000306818181818","30352015.9875",,"0.000259615384615","31588600.2922",,"0.000225","32274839.6906"
"0.0035","5643529.9784",,"0.00116666666667","13159442.7503",,"0.0007","20605613.662",,"0.0005","25948601.7195",,"0.000388888888889","29531741.463",,"0.000318181818182","31884927.1121",,"0.000269230769231","33388285.8729",,"0.000233333333333","34290520.7937"
"0.003625","5533057.83382",,"0.00120833333333","12247087.9387",,"0.000725","19806206.0782",,"0.000517857142857","25547324.7815",,"0.000402777777778","29570520.7959",,"0.000329545454545","32334158.6413",,"0.000278846153846","34201379.7942",,"0.000241666666667","35420249.3022"
"0.00375","5754909.27038",,"0.00125","11255600.5839",,"0.00075","18572080.0444",,"0.000535714285714","24480464.8215",,"0.000416666666667","28806245.9277",,"0.000340909090909","31906294.7826",,"0.000288461538462","34106040.1832",,"0.00025","35639220.8738"
"0.003875","6325892.3168",,"0.00129166666667","10535648.1077",,"0.000775","17379071.0805",,"0.000553571428571","23248251.7298",,"0.000430555555556","27714240.8306",,"0.000352272727273","31027841.55",,"0.000298076923077","33469603.5751",,"0.000258333333333","35252823.1199"
"0.004","7740691.39362",,"0.00133333333333","10684642.9245",,"0.0008","16776528.9037",,"0.000571428571429","22339209.3945",,"0.000444444444444","26735679.0401",,"0.000363636363636","30102932.5221",,"0.000307692307692","32665224.2633",,"0.000266666666667","34603350.0354"
