"Case Range","1",,,"2",,,"3",,,"4"
"Time, s","R4_",,"Time, s","R4_",,"Time, s","R4_",,"Time, s","R4_"
"0","0",,"0","0",,"0","0",,"0","0"
"0.000125","12851.2169608",,"4.16666666667e-05","954.034243526",,"2.5e-05","1477.3691336",,"1.78571428571e-05","7503.51134949"
"0.00025","4800.71264536",,"8.33333333333e-05","3738.82674875",,"5e-05","5038.60550238",,"3.57142857143e-05","7566.76515993"
"0.000375","61353.9479547",,"0.000125","85030.3215487",,"7.5e-05","73390.2355426",,"5.35714285714e-05","61233.9118573"
"0.0005","85379.8779719",,"0.000166666666667","203700.966795",,"0.0001","216610.479575",,"7.14285714286e-05","196458.932804"
"0.000625","101722.965234",,"0.000208333333333","315041.861497",,"0.000125","387085.739352",,"8.92857142857e-05","385828.052528"
"0.00075","88153.3139779",,"0.00025","366607.982834",,"0.00015","517062.451206",,"0.000107142857143","565063.027134"
"0.000875","34523.5390684",,"0.000291666666667","284083.376561",,"0.000175","500283.514018",,"0.000125","621613.618524"
"0.001","4284.74195019",,"0.000333333333333","150728.440732",,"0.0002","363617.151273",,"0.000142857142857","532363.05013"
"0.001125","99.5886680364",,"0.000375","69040.1270197",,"0.000225","230472.144826",,"0.000160714285714","396583.594507"
"0.00125","269.64190169",,"0.000416666666667","40065.6987017",,"0.00025","155527.277495",,"0.000178571428571","296011.354568"
"0.001375","2405.35572786",,"0.000458333333333","36579.6980693",,"0.000275","127695.797771",,"0.000196428571429","245472.774718"
"0.0015","11157.0451552",,"0.0005","55354.2024009",,"0.0003","141206.408111",,"0.000214285714286","246934.913728"
"0.001625","26083.1315019",,"0.000541666666667","96336.479726",,"0.000325","191383.217338",,"0.000232142857143","296378.175703"
"0.00175","29131.9833963",,"0.000583333333333","129275.244525",,"0.00035","244649.554747",,"0.00025","361062.444481"
"0.001875","18192.3361228",,"0.000625","125526.869217",,"0.000375","260146.966078",,"0.000267857142857","395347.828835"
"0.002","6453.66304451",,"0.000666666666667","92208.2345049",,"0.0004","228510.088757",,"0.000285714285714","376668.333303"
"0.002125","15.2509919256",,"0.000708333333333","42633.5666737",,"0.000425","154898.926898",,"0.000303571428571","299087.532633"
"0.00225","5568.15385256",,"0.00075","6394.31376722",,"0.00045","71322.6770288",,"0.000321428571429","187250.55618"
"0.002375","11493.7948572",,"0.000791666666667","424.617755074",,"0.000475","20896.4824939",,"0.000339285714286","94423.7910402"
"0.0025","7689.26486765",,"0.000833333333333","3728.46258151",,"0.0005","4554.79649358",,"0.000357142857143","44828.7535588"
"0.002625","1348.91858767",,"0.000875","1903.34733385",,"0.000525","2269.97806892",,"0.000375","27503.7335773"
"0.00275","2750.12464696",,"0.000916666666667","1650.16937414",,"0.00055","9601.88685629",,"0.000392857142857","34580.2587572"
"0.002875","23061.8634164",,"0.000958333333333","29422.9349763",,"0.000575","43584.8649439",,"0.000410714285714","73026.5335096"
"0.003","32466.6995273",,"0.001","67165.1624749",,"0.0006","93840.5207393",,"0.000428571428571","130804.909021"
"0.003125","6262.00703181",,"0.00104166666667","39075.6650454",,"0.000625","79525.4084946",,"0.000446428571429","129935.15367"
"0.00325","2307.46597091",,"0.00108333333333","1788.71863184",,"0.00065","21615.0454634",,"0.000464285714286","62866.545133"
"0.003375","12209.696201",,"0.001125","7652.8335231",,"0.000675","1.49473615386",,"0.000482142857143","11518.0559342"
"0.0035","49144.1972404",,"0.00116666666667","66692.3100406",,"0.0007","33590.2619698",,"0.0005","5795.47953946"
"0.003625","92554.1033709",,"0.00120833333333","181631.495227",,"0.000725","145400.603632",,"0.000517857142857","80295.2124382"
"0.00375","64861.3163715",,"0.00125","221759.985745",,"0.00075","241016.803686",,"0.000535714285714","186508.870415"
"0.003875","32459.1284194",,"0.00129166666667","188727.465007",,"0.000775","262127.271441",,"0.000553571428571","249482.925506"
"0.004","12601.6980278",,"0.00133333333333","132144.152687",,"0.0008","228675.963414",,"0.000571428571429","254869.549606"
"0.004125","1859.05884479",,"0.001375","73189.2184426",,"0.000825","165794.987937",,"0.000589285714286","215551.546762"
"0.00425","139.831275191",,"0.00141666666667","39967.9543259",,"0.00085","114647.604388",,"0.000607142857143","169218.400758"
"0.004375","2810.31326468",,"0.00145833333333","43832.7229161",,"0.000875","109770.269131",,"0.000625","160342.403759"
"0.0045","27551.2332186",,"0.0015","107745.382952",,"0.0009","183825.709976",,"0.000642857142857","230442.266562"
"0.004625","62471.5976392",,"0.00154166666667","224710.036874",,"0.000925","338620.946572",,"0.000660714285714","392876.482899"
"0.00475","59941.5975904",,"0.00158333333333","299856.223359",,"0.00095","488503.96549",,"0.000678571428571","585782.044169"
"0.004875","41004.2188406",,"0.001625","300658.529797",,"0.000975","561677.815309",,"0.000696428571429","727400.505151"
"0.005","25746.0964989",,"0.00166666666667","259470.222494",,"0.001","557925.53089",,"0.000714285714286","786767.515952"
"0.005125","14542.5701358",,"0.00170833333333","199805.974058",,"0.001025","497543.610219",,"0.000732142857143","766635.292085"
"0.00525","8943.91485232",,"0.00175","145466.548851",,"0.00105","414342.7777",,"0.00075","694917.483298"
"0.005375","8216.95170531",,"0.00179166666667","110911.237517",,"0.001075","341180.519393",,"0.000767857142857","610701.980531"
"0.0055","9960.23512183",,"0.00183333333333","93701.3417714",,"0.0011","289615.093747",,"0.000785714285714","538133.073572"
"0.005625","12829.2278334",,"0.001875","87698.0804982",,"0.001125","257705.455305",,"0.000803571428571","484209.723264"
"0.00575","15613.404227",,"0.00191666666667","87837.1455527",,"0.00115","239595.387426",,"0.000821428571429","446892.56094"
"0.005875","16198.2009548",,"0.00195833333333","88290.6703409",,"0.001175","227105.694029",,"0.000839285714286","418799.660335"
"0.006","13829.5258122",,"0.002","84528.5197329",,"0.0012","212961.446636",,"0.000857142857143","391634.276477"
"0.006125","10281.6978602",,"0.00204166666667","76952.2849339",,"0.001225","195716.214241",,"0.000875","362405.795867"
"0.00625","9979.58827435",,"0.00208333333333","76466.258264",,"0.00125","188307.417845",,"0.000892857142857","344149.840397"
"0.006375","16894.1976494",,"0.002125","97764.6378017",,"0.001275","211400.651894",,"0.000910714285714","361104.395402"
"0.0065","35606.7317755",,"0.00216666666667","155311.061492",,"0.0013","284888.442122",,"0.000928571428571","437090.555479"
"0.006625","82544.676193",,"0.00220833333333","288416.743072",,"0.001325","453851.927024",,"0.000946428571429","617544.529727"
"0.00675","188229.820503",,"0.00225","577918.271336",,"0.00135","812565.40277",,"0.000964285714286","995638.393293"
"0.006875","295733.33467",,"0.00229166666667","981892.70195",,"0.001375","1363672.90998",,"0.000982142857143","1603177.08213"
"0.007","288287.451931",,"0.00233333333333","1243384.22113",,"0.0014","1871445.35998",,"0.001","2258881.25637"
"0.007125","206771.325522",,"0.002375","1243741.18057",,"0.001425","2114307.18802",,"0.00101785714286","2715303.90633"
"0.00725","131757.05228",,"0.00241666666667","1087980.10017",,"0.00145","2096832.09563",,"0.00103571428571","2890733.31603"
"0.007375","91714.5586384",,"0.00245833333333","924923.608234",,"0.001475","1967824.14551",,"0.00105357142857","2882281.88816"
"0.0075","67735.8820451",,"0.0025","790017.471209",,"0.0015","1815678.25786",,"0.00107142857143","2791721.67063"
"0.007625","67952.4105806",,"0.00254166666667","741269.087472",,"0.001525","1747841.32591",,"0.00108928571429","2752209.51722"
