"Case Range","1",,,"2",,,"3",,,"4"
"Time, s","R4_ (Absolute)",,"Time, s","R4_ (Absolute)",,"Time, s","R4_ (Absolute)",,"Time, s","R4_ (Absolute)"
"0","0.028093176593",,"0","0.028093176593",,"0","0.028093176593",,"0","0.028093176593"
"0.000125","0.022080154552",,"4.16666666667e-05","0.0250673300701",,"2.5e-05","0.0263285539931",,"1.78571428571e-05","0.0269796867302"
"0.00025","0.0225127530877",,"8.33333333333e-05","0.0237869383665",,"5e-05","0.0249922021533",,"3.57142857143e-05","0.0258338543195"
"0.000375","0.0254415759501",,"0.000125","0.0246268158305",,"7.5e-05","0.0250009928747",,"5.35714285714e-05","0.0255118477777"
"0.0005","0.0281680036225",,"0.000166666666667","0.0262665061224",,"0.0001","0.0258832008423",,"7.14285714286e-05","0.0259393557201"
"0.000625","0.0305426723699",,"0.000208333333333","0.0281209766872",,"0.000125","0.0271948971776",,"8.92857142857e-05","0.0268434937459"
"0.00075","0.0323287119558",,"0.00025","0.0298042255636",,"0.00015","0.0285766091386",,"0.000107142857143","0.0279394561604"
"0.000875","0.0330006325938",,"0.000291666666667","0.0308762507984",,"0.000175","0.0296410069508",,"0.000125","0.0289011766164"
"0.001","0.032804072278",,"0.000333333333333","0.0312874079896",,"0.0002","0.0302344666344",,"0.000142857142857","0.0295410033429"
"0.001125","0.0324666314828",,"0.000375","0.031380324986",,"0.000225","0.0305095789763",,"0.000160714285714","0.0299045557801"
"0.00125","0.0324562364658",,"0.000416666666667","0.0315109125593",,"0.00025","0.0307159463501",,"0.000178571428571","0.0301575955584"
"0.001375","0.0328600416583",,"0.000458333333333","0.0318521293369",,"0.000275","0.0310260898677",,"0.000196428571429","0.0304483439725"
"0.0015","0.0337930862887",,"0.0005","0.0325342279967",,"0.0003","0.0315728378879",,"0.000214285714286","0.0309016040486"
"0.001625","0.0350933714534",,"0.000541666666667","0.033530973871",,"0.000325","0.0323831956629",,"0.000232142857143","0.031569617464"
"0.00175","0.0362449230559",,"0.000583333333333","0.0345695946411",,"0.00035","0.033300813625",,"0.00025","0.0323656426007"
"0.001875","0.0369295596441",,"0.000625","0.0353855408505",,"0.000375","0.0341212139316",,"0.000267857142857","0.0331370007056"
"0.002","0.0371295811311",,"0.000666666666667","0.0358691714344",,"0.0004","0.0347165700958",,"0.000285714285714","0.0337624317618"
"0.002125","0.0367134994247",,"0.000708333333333","0.0359074680429",,"0.000425","0.0349750251049",,"0.000303571428571","0.0341346403754"
"0.00225","0.0358110728038",,"0.00075","0.0355192187673",,"0.00045","0.0348704222684",,"0.000321428571429","0.0342048887406"
"0.002375","0.035081158267",,"0.000791666666667","0.0350431704508",,"0.000475","0.034597505923",,"0.000339285714286","0.0340845505121"
"0.0025","0.0349208764661",,"0.000833333333333","0.034814582147",,"0.0005","0.0344153680254",,"0.000357142857143","0.0339687237956"
"0.002625","0.0352265589571",,"0.000875","0.0349132909743",,"0.000525","0.0344499525638",,"0.000375","0.033988217648"
"0.00275","0.036099463264",,"0.000916666666667","0.0354208996319",,"0.00055","0.0347940648142",,"0.000392857142857","0.0342400246639"
"0.002875","0.0373599676703",,"0.000958333333333","0.0362757505811",,"0.000575","0.0354427916856",,"0.000410714285714","0.0347504515074"
"0.003","0.0379343050659",,"0.001","0.0368915878592",,"0.0006","0.0360392817181",,"0.000428571428571","0.0352953926056"
"0.003125","0.0364067847938",,"0.00104166666667","0.0362733377712",,"0.000625","0.0358648116187",,"0.000446428571429","0.0353464074147"
"0.00325","0.0334256302818",,"0.00108333333333","0.0343602581257",,"0.00065","0.0346621080364",,"0.000464285714286","0.0345999091816"
"0.003375","0.0305151713397",,"0.001125","0.0319850540607",,"0.000675","0.0328601007108",,"0.000482142857143","0.0332563124678"
"0.0035","0.0269307595268",,"0.00116666666667","0.0291146107327",,"0.0007","0.0305528274951",,"0.0005","0.031410797565"
"0.003625","0.0232621129053",,"0.00120833333333","0.0260254428193",,"0.000725","0.027932060903",,"0.000517857142857","0.0292012468968"
"0.00375","0.0210253995987",,"0.00125","0.0235532360002",,"0.00075","0.0255581292972",,"0.000535714285714","0.0270254874321"
"0.003875","0.0200677872047",,"0.00129166666667","0.0219290504689",,"0.000775","0.0237406090369",,"0.000553571428571","0.0251923265967"
"0.004","0.0202273017659",,"0.00133333333333","0.0211377125162",,"0.0008","0.0225606542473",,"0.000571428571429","0.0238420393833"
"0.004125","0.0215064526419",,"0.001375","0.0211853066679",,"0.000825","0.0220359237755",,"0.000589285714286","0.0230261316894"
"0.00425","0.0232541145979",,"0.00141666666667","0.0218218349283",,"0.00085","0.022028929975",,"0.000607142857143","0.0226678555534"
"0.004375","0.0244819818391",,"0.00145833333333","0.0224781920733",,"0.000875","0.0221904844972",,"0.000625","0.0225281051789"
"0.0045","0.0243880868771",,"0.0015","0.0224845944684",,"0.0009","0.0220431436623",,"0.000642857142857","0.022252822782"
"0.004625","0.0235914041901",,"0.00154166666667","0.0218320700337",,"0.000925","0.0214270069983",,"0.000660714285714","0.0216533114946"
"0.00475","0.0230635636913",,"0.00158333333333","0.0210287242877",,"0.00095","0.0205707620795",,"0.000678571428571","0.0208178966548"
"0.004875","0.022864113578",,"0.001625","0.020370401754",,"0.000975","0.0197113434013",,"0.000696428571429","0.0199092039027"
"0.005","0.0227997033153",,"0.00166666666667","0.0199244019552",,"0.001","0.0189724338396",,"0.000714285714286","0.0190444428367"
"0.005125","0.0228238065206",,"0.00170833333333","0.0197286316043",,"0.001025","0.0184375333819",,"0.000732142857143","0.0183129344307"
"0.00525","0.022831360831",,"0.00175","0.0197476299184",,"0.00105","0.0181327945034",,"0.00075","0.0177655081831"
"0.005375","0.022788650161",,"0.00179166666667","0.0199244129814",,"0.001075","0.0180426564728",,"0.000767857142857","0.0174159034915"
"0.0055","0.0228619817435",,"0.00183333333333","0.020291240241",,"0.0011","0.0181825248422",,"0.000785714285714","0.0172842748317"
"0.005625","0.0231872562835",,"0.001875","0.0209099117112",,"0.001125","0.0185928401506",,"0.000803571428571","0.0174068435673"
"0.00575","0.0238045226891",,"0.00191666666667","0.0218083276569",,"0.00115","0.0193016956405",,"0.000821428571429","0.0178163117026"
"0.005875","0.0246454673122",,"0.00195833333333","0.0229422300491",,"0.001175","0.0202901905095",,"0.000839285714286","0.0185149296824"
"0.006","0.0255863396724",,"0.002","0.0242065145843",,"0.0012","0.0214860990861",,"0.000857142857143","0.0194611735552"
"0.006125","0.0263112494827",,"0.00204166666667","0.0253753654318",,"0.001225","0.0227256740912",,"0.000875","0.0205403971017"
"0.00625","0.0263701279239",,"0.00208333333333","0.0261005859029",,"0.00125","0.0237359259815",,"0.000892857142857","0.0215421138991"
"0.006375","0.0254330504108",,"0.002125","0.0260487098338",,"0.001275","0.0242128887277",,"0.000910714285714","0.0222041973846"
"0.0065","0.0234869936506",,"0.00216666666667","0.0250651640131",,"0.0013","0.0239469973724",,"0.000928571428571","0.0223075455284"
"0.006625","0.0204677615953",,"0.00220833333333","0.0230325034397",,"0.001325","0.0227734668113",,"0.000946428571429","0.0216670010797"
"0.00675","0.0164869829552",,"0.00225","0.0198674021203",,"0.00135","0.0205443681286",,"0.000964285714286","0.0201076156852"
"0.006875","0.0129759230558",,"0.00229166666667","0.0161026434043",,"0.001375","0.0174680674991",,"0.000982142857143","0.0176800020732"
"0.007","0.0115342153951",,"0.00233333333333","0.0128401571011",,"0.0014","0.014208709389",,"0.001","0.0147878740014"
"0.007125","0.0118918858023",,"0.002375","0.0109444776667",,"0.001425","0.0115023989935",,"0.00101785714286","0.011980923009"
"0.00725","0.0129585810193",,"0.00241666666667","0.0105591331336",,"0.00145","0.00987173718146",,"0.00103571428571","0.00975587335556"
"0.007375","0.014234712319",,"0.00245833333333","0.0112083643704",,"0.001475","0.00944735418205",,"0.00105357142857","0.00845850705459"
"0.0075","0.0154815274599",,"0.0025","0.0123551339573",,"0.0015","0.0099754718574",,"0.00107142857143","0.00821229606408"
"0.007625","0.0171395902644",,"0.00254166666667","0.0139016821733",,"0.001525","0.0111677700079",,"0.00108928571429","0.0088799461589"
"0.00775","0.0205579827678",,"0.00258333333333","0.0163999947582",,"0.00155","0.0131326194922",,"0.00110714285714","0.0103681203961"
"0.007875","0.0244690302621",,"0.002625","0.0194892450434",,"0.001575","0.0156824983707",,"0.001125","0.0124875236454"
"0.008","0.0276033920508",,"0.00266666666667","0.0224573558843",,"0.0016","0.0183626026533",,"0.00114285714286","0.0148889371003"
"0.008125","0.0301699734287",,"0.00270833333333","0.0251148399845",,"0.001625","0.0209226813658",,"0.00116071428571","0.017312528992"
"0.00825","0.0320693589581",,"0.00275","0.0273280003538",,"0.00165","0.0231993670552",,"0.00117857142857","0.0195790085707"
"0.008375","0.0328208027331",,"0.00279166666667","0.0288010995358",,"0.001675","0.0249575577657",,"0.00119642857143","0.0214797097054"
"0.0085","0.0326789706456",,"0.00283333333333","0.0295328325851",,"0.0017","0.0261162840997",,"0.00121428571429","0.0228995453203"
"0.008625","0.0323789338195",,"0.002875","0.0298864908083",,"0.001725","0.0268630261512",,"0.00123214285714","0.0239247767595"
"0.00875","0.0323943958737",,"0.00291666666667","0.0302312215693",,"0.00175","0.0274681056386",,"0.00125","0.0247460934326"
"0.008875","0.0328162379247",,"0.00295833333333","0.0307490182932",,"0.001775","0.0281173343539",,"0.00126785714286","0.0255281720859"
"0.009","0.0337622573502",,"0.003","0.03158066927",,"0.0018","0.0289576072125",,"0.00128571428571","0.026411231456"
"0.009125","0.0350720218401",,"0.00304166666667","0.0327087431155",,"0.001825","0.0300291861403",,"0.00130357142857","0.0274624760437"
"0.00925","0.0362302798295",,"0.00308333333333","0.0338627184642",,"0.00185","0.0311815607962",,"0.00132142857143","0.0286034546286"
"0.009375","0.036919522232",,"0.003125","0.0347783971469",,"0.001875","0.0322120746786",,"0.00133928571429","0.0296853803934"
"0.0095","0.0371226718581",,"0.00316666666667","0.0353470520126",,"0.0019","0.0329940335572",,"0.00135714285714","0.0305892417272"
"0.009625","0.0367087110014",,"0.00320833333333","0.0354572459014",,"0.001925","0.0334172676567",,"0.001375","0.031210076001"
"0.00975","0.0358077094399",,"0.00325","0.0351286629907",,"0.00195","0.0334563510833",,"0.00139285714286","0.0315009406362"
"0.009875","0.0350787409858",,"0.00329166666667","0.0347001654333",,"0.001975","0.0333051923597",,"0.00141071428571","0.0315734555435"
"0.01","0.0349191109295",,"0.00333333333333","0.034509464462",,"0.002","0.0332249787563",,"0.00142857142857","0.0316248160918"
"0.010125","0.0352252725735",,"0.003375","0.0346404423836",,"0.002025","0.0333475971739",,"0.00144642857143","0.0317913861827"
"0.01025","0.0360985409775",,"0.00341666666667","0.0351771377836",,"0.00205","0.033771217624",,"0.00146428571429","0.0321763311663"
"0.010375","0.0373593110155",,"0.00345833333333","0.0360590386771",,"0.002075","0.0344947499584",,"0.00148214285714","0.0328108971559"
"0.0105","0.0379338365146",,"0.0035","0.0367001066999",,"0.0021","0.0351627203132",,"0.0015","0.0334735730803"
"0.010625","0.0364064390371",,"0.00354166666667","0.0361037640244",,"0.002125","0.0350539301135",,"0.00151785714286","0.0336342098381"
"0.01075","0.0334253802534",,"0.00358333333333","0.0342089591651",,"0.00215","0.0339091899455",,"0.00153571428571","0.0329859977364"
"0.010875","0.0305149706599",,"0.003625","0.031851261751",,"0.002175","0.0321636715099",,"0.00155357142857","0.0317361193284"
"0.011","0.0269306256179",,"0.00366666666667","0.0289988478301",,"0.0022","0.029916416999",,"0.00157142857143","0.0299872130982"
"0.011125","0.0232620226871",,"0.00370833333333","0.0259275490943",,"0.002225","0.0273595823212",,"0.00158928571429","0.0278799721997"
"0.01125","0.0210253367217",,"0.00375","0.023470845551",,"0.00225","0.0250479341964",,"0.00160714285714","0.0258081969462"
"0.011375","0.0200677445989",,"0.00379166666667","0.0218584842418",,"0.002275","0.0232846449157",,"0.001625","0.0240731566248"
"0.0115","0.0202272763062",,"0.00383333333333","0.0210750406347",,"0.0023","0.0221458568983",,"0.00164285714286","0.0228067439241"
"0.011625","0.0215064350066",,"0.003875","0.021127503109",,"0.002325","0.0216473622864",,"0.00166071428571","0.0220537855244"
"0.01175","0.0232541028376",,"0.00391666666667","0.021767769489",,"0.00235","0.0216564183047",,"0.00167857142857","0.0217390513467"
"0.011875","0.0244819721535",,"0.00395833333333","0.0224281371684",,"0.002375","0.0218311336493",,"0.00169642857143","0.0216321904377"
