"Case Range","1",,,"2",,,"3",,,"4"
"Time, s","R4_ (Z)",,"Time, s","R4_ (Z)",,"Time, s","R4_ (Z)",,"Time, s","R4_ (Z)"
"0","0",,"0","0",,"0","0",,"0","0"
"0.000125","-876443.969873",,"4.16666666667e-05","-238799.828832",,"2.5e-05","297164.235736",,"1.78571428571e-05","669706.171999"
"0.00025","535679.325558",,"8.33333333333e-05","472737.114561",,"5e-05","548791.287295",,"3.57142857143e-05","672523.024265"
"0.000375","1915019.87796",,"0.000125","2254441.34344",,"7.5e-05","2094455.65803",,"5.35714285714e-05","1913145.63788"
"0.0005","2259070.55207",,"0.000166666666667","3489382.46767",,"0.0001","3598253.5411",,"7.14285714286e-05","3426793.38438"
"0.000625","2465820.93371",,"0.000208333333333","4339464.72095",,"0.000125","4810116.72562",,"8.92857142857e-05","4802296.05206"
"0.00075","2295468.57308",,"0.00025","4681154.6414",,"0.00015","5559343.76707",,"0.000107142857143","5811663.70114"
"0.000875","1436513.40932",,"0.000291666666667","4120737.40754",,"0.000175","5468398.12054",,"0.000125","6095541.46353"
"0.001","506074.395809",,"0.000333333333333","3001577.99435",,"0.0002","4662020.82912",,"0.000142857142857","5640998.46885"
"0.001125","77153.7414702",,"0.000375","2031434.48384",,"0.000225","3711600.72822",,"0.000160714285714","4868771.60177"
"0.00125","126953.804516",,"0.000416666666667","1547527.55204",,"0.00025","3048985.18678",,"0.000178571428571","4206357.82817"
"0.001375","379176.738048",,"0.000458333333333","1478672.81224",,"0.000275","2762742.01496",,"0.000196428571429","3830484.37706"
"0.0015","816632.434382",,"0.0005","1818977.50487",,"0.0003","2905221.38635",,"0.000214285714286","3841875.42716"
"0.001625","1248624.62294",,"0.000541666666667","2399647.31078",,"0.000325","3382236.36866",,"0.000232142857143","4208963.308"
"0.00175","1319584.04657",,"0.000583333333333","2779775.43982",,"0.00035","3824056.00748",,"0.00025","4645614.71409"
"0.001875","1042788.57728",,"0.000625","2739178.77686",,"0.000375","3943314.46812",,"0.000267857142857","4861180.06844"
"0.002","621090.909435",,"0.000666666666667","2347669.095",,"0.0004","3695768.15518",,"0.000285714285714","4744949.39153"
"0.002125","30192.6390502",,"0.000708333333333","1596349.06744",,"0.000425","3042819.80323",,"0.000303571428571","4228157.77249"
"0.00225","-576909.43662",,"0.00075","618228.470353",,"0.00045","2064742.26271",,"0.000321428571429","3345519.6702"
"0.002375","-828864.90258",,"0.000791666666667","-159312.959148",,"0.000475","1117605.73898",,"0.000339285714286","2375706.28175"
"0.0025","-677944.965634",,"0.000833333333333","-472081.437396",,"0.0005","521778.906579",,"0.000357142857143","1636930.95466"
"0.002625","-283951.978512",,"0.000875","-337295.893329",,"0.000525","368351.854073",,"0.000375","1282176.62684"
"0.00275","405441.517467",,"0.000916666666667","314062.650001",,"0.00055","757583.176131",,"0.000392857142857","1437692.96908"
"0.002875","1174084.15596",,"0.000958333333333","1326157.25498",,"0.000575","1614060.76912",,"0.000410714285714","2089259.43617"
"0.003","1393064.10004",,"0.001","2003660.16656",,"0.0006","2368357.36351",,"0.000428571428571","2796173.08519"
"0.003125","611799.059471",,"0.00104166666667","1528288.05468",,"0.000625","2180243.4168",,"0.000446428571429","2786861.34475"
"0.00325","-371381.000636",,"0.00108333333333","326981.396935",,"0.00065","1136658.76754",,"0.000464285714286","1938482.24059"
"0.003375","-854288.300144",,"0.001125","-676337.024461",,"0.000675","9452.23039949",,"0.000482142857143","829739.224555"
"0.0035","-1713910.55041",,"0.00116666666667","-1996594.68076",,"0.0007","-1416963.70133",,"0.0005","-588568.097358"
"0.003625","-2352067.97351",,"0.00120833333333","-3294940.7434",,"0.000725","-2948051.96333",,"0.000517857142857","-2190770.35361"
"0.00375","-1968996.33958",,"0.00125","-3640773.16974",,"0.00075","-3795558.51179",,"0.000535714285714","-3338887.41679"
"0.003875","-1392901.662",,"0.00129166666667","-3358687.38243",,"0.000775","-3958294.77375",,"0.000553571428571","-3861645.86117"
"0.004","-867893.755767",,"0.00133333333333","-2810450.9159",,"0.0008","-3697109.28429",,"0.000571428571429","-3903111.92539"
"0.004125","-333348.571112",,"0.001375","-2091585.31641",,"0.000825","-3148021.77882",,"0.000589285714286","-3589447.46443"
"0.00425","-91422.7306086",,"0.00141666666667","-1545638.72335",,"0.00085","-2617788.29628",,"0.000607142857143","-3180356.63188"
"0.004375","-409854.205901",,"0.00145833333333","-1618643.67513",,"0.000875","-2561500.19938",,"0.000625","-3095823.72758"
"0.0045","-1283283.3249",,"0.0015","-2537764.76984",,"0.0009","-3314783.40172",,"0.000642857142857","-3711360.13563"
"0.004625","-1932383.56818",,"0.00154166666667","-3664909.5863",,"0.000925","-4498926.9264",,"0.000660714285714","-4845962.4674"
"0.00475","-1892849.94333",,"0.00158333333333","-4233587.72137",,"0.00095","-5403635.87438",,"0.000678571428571","-5917251.89124"
"0.004875","-1565547.68695",,"0.001625","-4239247.71008",,"0.000975","-5794229.12665",,"0.000696428571429","-6593846.43648"
"0.005","-1240531.29824",,"0.00166666666667","-3938182.0797",,"0.001","-5774842.54237",,"0.000714285714286","-6857648.79812"
