"Case Range","1",,,"2",,,"3",,,"4",,,"5",,,"6",,,"7",,,"8"
"Time, s","R4_",,"Time, s","R4_",,"Time, s","R4_",,"Time, s","R4_",,"Time, s","R4_",,"Time, s","R4_",,"Time, s","R4_",,"Time, s","R4_"
"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0"
"0.000125","49492509.8958",,"4.16666666667e-05","50009725.3116",,"2.5e-05","50352964.9254",,"1.78571428571e-05","50552560.6208",,"1.38888888889e-05","50674992.7004",,"1.13636363636e-05","50755753.3293",,"9.61538461538e-06","50813149.2942",,"8.33333333333e-06","50856889.5543"
"0.00025","41506061.0801",,"8.33333333333e-05","37362436.142",,"5e-05","36434006.6311",,"3.57142857143e-05","36418956.4574",,"2.77777777778e-05","36743099.5749",,"2.27272727273e-05","37208890.5895",,"1.92307692308e-05","37733239.7835",,"1.66666666667e-05","38277589.9901"
"0.000375","33938941.1304",,"0.000125","23460256.2401",,"7.5e-05","19723619.4037",,"5.35714285714e-05","18291910.5757",,"4.16666666667e-05","17859685.8895",,"3.40909090909e-05","17934378.1238",,"2.88461538462e-05","18293315.6319",,"2.5e-05","18821988.081"
"0.0005","30702692.4245",,"0.000166666666667","16428329.3624",,"0.0001","10543067.9108",,"7.14285714286e-05","7865028.723",,"5.55555555556e-05","6571206.41721",,"4.54545454545e-05","5963457.58033",,"3.84615384615e-05","5738683.56027",,"3.33333333333e-05","5750178.65433"
"0.000625","31281419.434",,"0.000208333333333","16077435.1715",,"0.000125","8599752.92989",,"8.92857142857e-05","4975171.31789",,"6.94444444444e-05","3134217.32878",,"5.68181818182e-05","2157781.63932",,"4.80769230769e-05","1626353.58608",,"4.16666666667e-05","1339145.28401"
"0.00075","32861192.6532",,"0.00025","19219281.4636",,"0.00015","10536978.1901",,"0.000107142857143","5755493.29048",,"8.33333333333e-05","3163544.62054",,"6.81818181818e-05","1751044.32389",,"5.76923076923e-05","977136.557958",,"5e-05","552500.387835"
"0.000875","33439075.1271",,"0.000291666666667","22980170.8781",,"0.000175","14137300.3756",,"0.000125","8375326.10108",,"9.72222222222e-05","4855651.89213",,"7.95454545455e-05","2750287.34463",,"6.73076923077e-05","1507833.43574",,"5.83333333333e-05","787673.29845"
"0.001","32108671.3122",,"0.000333333333333","24831981.3377",,"0.0002","17007849.2614",,"0.000142857142857","11056946.4977",,"0.000111111111111","6981045.85053",,"9.09090909091e-05","4295863.18607",,"7.69230769231e-05","2563163.78864",,"6.66666666667e-05","1465791.4438"
"0.001125","29252725.6726",,"0.000375","23947560.26",,"0.000225","17627831.5028",,"0.000160714285714","12244168.5826",,"0.000125","8220219.6601",,"0.000102272727273","5370638.83474",,"8.65384615385e-05","3408549.61999",,"7.5e-05","2085372.65312"
"0.00125","25999936.7247",,"0.000416666666667","21520778.3265",,"0.00025","16485495.5096",,"0.000178571428571","11926183.6679",,"0.000138888888889","8311902.5383",,"0.000113636363636","5622156.60587",,"9.61538461538e-05","3688429.86252",,"8.33333333333e-05","2332257.40133"
"0.001375","22964638.2212",,"0.000458333333333","18741990.1422",,"0.000275","14596120.939",,"0.000196428571429","10802854.8096",,"0.000152777777778","7695146.75192",,"0.000125","5305976.04052",,"0.000105769230769","3538534.54091",,"9.16666666667e-05","2267832.99874"
"0.0015","20630500.0923",,"0.0005","16720286.0676",,"0.0003","13113981.6161",,"0.000214285714286","9845392.96493",,"0.000166666666667","7122169.58489",,"0.000136363636364","4982751.67916",,"0.000115384615385","3366038.38287",,"0.0001","2180586.959"
"0.001625","18313093.7108",,"0.000541666666667","14807761.1613",,"0.000325","11619572.8848",,"0.000232142857143","8773818.05515",,"0.000180555555556","6392952.38056",,"0.000147727272727","4502240.94616",,"0.000125","3056453.32171",,"0.000108333333333","1984371.22988"
