"Case Range","1",,,"2",,,"3",,,"4",,,"5",,,"6",,,"7",,,"8"
"Time, s","R4_ (Z)",,"Time, s","R4_ (Z)",,"Time, s","R4_ (Z)",,"Time, s","R4_ (Z)",,"Time, s","R4_ (Z)",,"Time, s","R4_ (Z)",,"Time, s","R4_ (Z)",,"Time, s","R4_ (Z)"
"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0"
"0.000125","-54390339.3947",,"4.16666666667e-05","-54673800.5422",,"2.5e-05","-54861105.3496",,"1.78571428571e-05","-54969730.6375",,"1.38888888889e-05","-55036255.344",,"1.13636363636e-05","-55080093.4668",,"9.61538461538e-06","-55111227.6897",,"8.33333333333e-06","-55134942.623"
"0.00025","-49808996.2517",,"8.33333333333e-05","-47257378.0626",,"5e-05","-46666528.5968",,"3.57142857143e-05","-46656889.0873",,"2.77777777778e-05","-46864061.513",,"2.27272727273e-05","-47160173.0707",,"1.92307692308e-05","-47491302.1159",,"1.66666666667e-05","-47832636.8398"
"0.000375","-45040289.5487",,"0.000125","-37447118.514",,"7.5e-05","-34335654.9792",,"5.35714285714e-05","-33065992.6064",,"4.16666666667e-05","-32672994.3538",,"3.40909090909e-05","-32741245.0701",,"2.88461538462e-05","-33067262.5308",,"2.5e-05","-33541677.3167"
"0.0005","-42839092.3306",,"0.000166666666667","-31336373.1512",,"0.0001","-25103572.5565",,"7.14285714286e-05","-21682142.0827",,"5.55555555556e-05","-19818673.5608",,"4.54545454545e-05","-18879961.1671",,"3.84615384615e-05","-18520732.8942",,"3.33333333333e-05","-18539272.9529"
"0.000625","-43240952.8344",,"0.000208333333333","-30999908.5777",,"0.000125","-22672270.6129",,"8.92857142857e-05","-17244716.1236",,"6.94444444444e-05","-13687262.085",,"5.68181818182e-05","-11356794.7314",,"4.80769230769e-05","-9859604.97616",,"4.16666666667e-05","-8946761.85886"
"0.00075","-44319381.431",,"0.00025","-33893826.5794",,"0.00015","-25096321.5443",,"0.000107142857143","-18547838.4897",,"8.33333333333e-05","-13751149.7548",,"6.81818181818e-05","-10230588.0911",,"5.76923076923e-05","-7642398.16606",,"5e-05","-5746697.31723"
"0.000875","-44707373.6696",,"0.000291666666667","-37061983.3302",,"0.000175","-29069346.746",,"0.000125","-22374476.9911",,"9.72222222222e-05","-17036320.492",,"7.95454545455e-05","-12821565.7777",,"6.73076923077e-05","-9493551.57792",,"5.83333333333e-05","-6861595.16815"
"0.001","-43808985.5545",,"0.000333333333333","-38526336.7257",,"0.0002","-31884288.3858",,"0.000142857142857","-25708079.4603",,"0.000111111111111","-20427361.5051",,"9.09090909091e-05","-16024232.9677",,"7.69230769231e-05","-12377707.3116",,"6.66666666667e-05","-9360264.49054"
"0.001125","-41815298.2474",,"0.000375","-37834035.4903",,"0.000225","-32460221.1872",,"0.000160714285714","-27053077.6938",,"0.000125","-22166327.2682",,"0.000102272727273","-17916988.0264",,"8.65384615385e-05","-14273709.044",,"7.5e-05","-11164617.9581"
"0.00125","-39421956.5595",,"0.000416666666667","-35865840.8119",,"0.00025","-31390846.8596",,"0.000178571428571","-26699478.3456",,"0.000138888888889","-22289598.7557",,"0.000113636363636","-18331731.9761",,"9.61538461538e-05","-14848165.3177",,"8.33333333333e-05","-11807019.2009"
"0.001375","-37049455.826",,"0.000458333333333","-33470321.3515",,"0.000275","-29537297.4216",,"0.000196428571429","-25410973.2565",,"0.000152777777778","-21446700.2938",,"0.000125","-17808800.6218",,"0.000105769230769","-14543326.3306",,"9.16666666667e-05","-11642803.4173"
"0.0015","-35116150.9582",,"0.0005","-31613594.7093",,"0.0003","-27997503.9619",,"0.000214285714286","-24258757.7187",,"0.000166666666667","-20632800.7725",,"0.000136363636364","-17257848.4777",,"0.000115384615385","-14184419.3225",,"0.0001","-11416651.2525"
"0.001625","-33085133.2728",,"0.000541666666667","-29750668.5809",,"0.000325","-26354034.5973",,"0.000232142857143","-22900572.6053",,"0.000180555555556","-19548019.5308",,"0.000147727272727","-16404628.3655",,"0.000125","-13516396.1925",,"0.000108333333333","-10890892.9801"
"0.00175","-30542976.5278",,"0.000583333333333","-27117344.0949",,"0.00035","-23772406.709",,"0.00025","-20485909.9934",,"0.000194444444444","-17340943.3332",,"0.000159090909091","-14405068.0567",,"0.000134615384615","-11706840.2619",,"0.000116666666667","-9247463.69623"
"0.001875","-27972239.2652",,"0.000625","-24359112.4701",,"0.000375","-20899782.0183",,"0.000267857142857","-17609242.5244",,"0.000208333333333","-14527785.1929",,"0.000170454545455","-11688435.1635",,"0.000144230769231","-9098730.98681",,"0.000125","-6749368.01741"
"0.002","-25196270.01",,"0.000666666666667","-21294417.9155",,"0.0004","-17618481.68",,"0.000285714285714","-14206031.7175",,"0.000222222222222","-11077102.2972",,"0.000181818181818","-8238453.74311",,"0.000153846153846","-5681213.26998",,"0.000133333333333","-3383129.59129"
"0.002125","-22139770.8141",,"0.000708333333333","-17701783.9457",,"0.000425","-13652221.0638",,"0.000303571428571","-9984215.74107",,"0.000236111111111","-6694228.08434",,"0.000193181818182","-3765641.18772",,"0.000163461538462","-1167643.48266",,"0.000141666666667","1136512.17283"
"0.00225","-19214425.9045",,"0.00075","-14238342.3737",,"0.00045","-9718929.47179",,"0.000321428571429","-5675188.26658",,"0.00025","-2098952.58714",,"0.000204545454545","1039720.15894",,"0.000173076923077","3786685.80818",,"0.00015","6191237.29746"
"0.002375","-16780720.1438",,"0.000791666666667","-11713728.1985",,"0.000475","-6819200.75274",,"0.000339285714286","-2360844.25485",,"0.000263888888889","1596504.08976",,"0.000215909090909","5062709.83507",,"0.000182692307692","8081604.80978",,"0.000158333333333","10707675.6846"
"0.0025","-14372881.3471",,"0.000833333333333","-9645365.83156",,"0.0005","-4645814.59934",,"0.000357142857143","99742.6217043",,"0.000277777777778","4400557.14804",,"0.000227272727273","8209935.45541",,"0.000192307692308","11547230.9309",,"0.000166666666667","14455422.6798"
"0.002625","-11635308.2151",,"0.000875","-7274597.20623",,"0.000525","-2355518.5079",,"0.000375","2518901.85955",,"0.000291666666667","7051566.54288",,"0.000238636363636","11129551.8322",,"0.000201923076923","14736602.1129",,"0.000175","17899954.3419"
"0.00275","-8995871.57819",,"0.000916666666667","-5086431.98586",,"0.00055","-393602.229811",,"0.000392857142857","4475037.91021",,"0.000305555555556","9142305.64445",,"0.00025","13428534.833",,"0.000211538461538","17274178.7029",,"0.000183333333333","20681623.7953"
"0.002875","-6587546.50447",,"0.000958333333333","-3325283.69138",,"0.000575","1010201.28481",,"0.000410714285714","5764305.17408",,"0.000319444444444","10486222.9684",,"0.000261363636364","14929620.4647",,"0.000221153846154","18986910.9942",,"0.000191666666667","22629718.1436"
"0.003","-3809325.15913",,"0.001","-1128690.4493",,"0.0006","2744498.80218",,"0.000428571428571","7241930.19445",,"0.000333333333333","11883881.1315",,"0.000272727272727","16371175.8059",,"0.000230769230769","20550074.7836",,"0.0002","24359130.8981"
"0.003125","-630484.838675",,"0.00104166666667","1797609.75406",,"0.000625","5263126.01118",,"0.000446428571429","9459279.93437",,"0.000347222222222","13945701.0259",,"0.000284090909091","18398709.2372",,"0.000240384615385","22628582.5286",,"0.000208333333333","26542867.8134"
"0.00325","3129091.80074",,"0.00108333333333","5956077.23642",,"0.00065","9240903.71435",,"0.000464285714286","13156804.0859",,"0.000361111111111","17415698.4548",,"0.000295454545455","21726947.8493",,"0.00025","25893224.5789",,"0.000216666666667","29804000.4253"
"0.003375","6081093.5548",,"0.001125","9118700.30055",,"0.000675","12347049.3877",,"0.000482142857143","16112570.3118",,"0.000375","20243873.6511",,"0.000306818181818","24487383.9931",,"0.000259615384615","28646472.4634",,"0.000225","32598820.1493"
"0.0035","7839894.14394",,"0.00116666666667","10055096.4921",,"0.0007","12899454.1915",,"0.0005","16400764.5767",,"0.000388888888889","20371290.9082",,"0.000318181818182","24552780.0092",,"0.000269230769231","28733325.5415",,"0.000233333333333","32771392.594"
"0.003625","9542758.362",,"0.00120833333333","10271058.2785",,"0.000725","12263578.8975",,"0.000517857142857","15177421.9129",,"0.000402777777778","18745357.5957",,"0.000329545454545","22676820.7826",,"0.000278846153846","26731164.6593",,"0.000241666666667","30740290.7105"
"0.00375","11800943.9517",,"0.00125","11231879.9087",,"0.00075","12250283.0351",,"0.000535714285714","14392568.6159",,"0.000416666666667","17355796.0397",,"0.000340909090909","20834314.7949",,"0.000288461538462","24568273.4334",,"0.00025","28366777.6617"
"0.003875","14347916.0803",,"0.00129166666667","12829585.1863",,"0.000775","12984489.0216",,"0.000553571428571","14367881.2417",,"0.000430555555556","16680597.9284",,"0.000352272727273","19624226.138",,"0.000298076923077","22936652.7839",,"0.000258333333333","26416599.1437"
