"Case Range","1",,,"2",,,"3",,,"4",,,"5",,,"6",,,"7",,,"8"
"Time, s","R4_",,"Time, s","R4_",,"Time, s","R4_",,"Time, s","R4_",,"Time, s","R4_",,"Time, s","R4_",,"Time, s","R4_",,"Time, s","R4_"
"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0"
"0.000125","716.252352094",,"4.16666666667e-05","4538.08030547",,"2.5e-05","8616.39999383",,"1.78571428571e-05","11992.5453466",,"1.38888888889e-05","14618.7475992",,"1.13636363636e-05","16621.4194549",,"9.61538461538e-06","18123.3413649",,"8.33333333333e-06","19247.0111955"
"0.00025","38405.4245963",,"8.33333333333e-05","145567.759294",,"5e-05","216676.687032",,"3.57142857143e-05","256230.294229",,"2.77777777778e-05","275232.79361",,"2.27272727273e-05","281460.164534",,"1.92307692308e-05","279823.273233",,"1.66666666667e-05","273453.288921"
"0.000375","69999.2151534",,"0.000125","368517.229095",,"7.5e-05","640465.261006",,"5.35714285714e-05","835277.539845",,"4.16666666667e-05","962046.57496",,"3.40909090909e-05","1037209.52292",,"2.88461538462e-05","1075003.36726",,"2.5e-05","1086269.16111"
"0.0005","46529.1999019",,"0.000166666666667","360525.289751",,"0.0001","763753.325702",,"7.14285714286e-05","1133122.2243",,"5.55555555556e-05","1434522.54317",,"4.54545454545e-05","1665861.82297",,"3.84615384615e-05","1835120.19709",,"3.33333333333e-05","1952430.71757"
"0.000625","38901.9105769",,"0.000208333333333","330413.073994",,"0.000125","773395.718492",,"8.92857142857e-05","1239784.95685",,"6.94444444444e-05","1669414.24661",,"5.68181818182e-05","2040187.24565",,"4.80769230769e-05","2347567.9889",,"4.16666666667e-05","2594636.10552"
"0.00075","24268.0966534",,"0.00025","248973.338516",,"0.00015","655148.320691",,"0.000107142857143","1139049.29759",,"8.33333333333e-05","1630436.07388",,"6.81818181818e-05","2091972.85329",,"5.76923076923e-05","2506516.45525",,"5e-05","2868107.85887"
"0.000875","1492.79534952",,"0.000291666666667","71105.2245425",,"0.000175","292422.181846",,"0.000125","638200.268497",,"9.72222222222e-05","1053664.89389",,"7.95454545455e-05","1494692.11054",,"6.73076923077e-05","1932175.68799",,"5.83333333333e-05","2348425.45785"
"0.001","1153.6814285",,"0.000333333333333","3264.63051793",,"0.0002","62726.2940889",,"0.000142857142857","219485.042365",,"0.000111111111111","464070.122236",,"9.09090909091e-05","770844.70215",,"7.69230769231e-05","1114479.78312",,"6.66666666667e-05","1474710.48794"
"0.001125","690.929982226",,"0.000375","71.442904294",,"0.000225","11234.583267",,"0.000160714285714","70524.556409",,"0.000125","192735.769414",,"0.000102272727273","373582.783384",,"8.65384615385e-05","600919.389031",,"7.5e-05","861257.897067"
"0.00125","17.6788233485",,"0.000416666666667","149.754510198",,"0.00025","6487.90511277",,"0.000178571428571","37314.8925375",,"0.000138888888889","107217.6658",,"0.000113636363636","220042.404378",,"9.61538461538e-05","372310.112533",,"8.33333333333e-05","557162.931233"
"0.001375","2193.73602491",,"0.000458333333333","8030.52374276",,"0.000275","21550.2239284",,"0.000196428571429","54394.8441581",,"0.000152777777778","114973.404986",,"0.000125","206628.040242",,"0.000105769230769","328330.313086",,"9.16666666667e-05","476444.357697"
"0.0015","6874.92594281",,"0.0005","32492.4430525",,"0.0003","64859.4394774",,"0.000214285714286","114192.897244",,"0.000166666666667","186621.810245",,"0.000136363636364","283839.259557",,"0.000115384615385","404622.555901",,"0.0001","546240.54831"
"0.001625","12706.2852377",,"0.000541666666667","72767.4216292",,"0.000325","143587.460988",,"0.000232142857143","227400.772754",,"0.000180555555556","329667.230528",,"0.000147727272727","451763.430218",,"0.000125","592342.147715",,"0.000108333333333","748830.538627"
