"Case Range","1",,,"2",,,"3",,,"4",,,"5",,,"6",,,"7",,,"8"
"Time, s","R4_Node15004 (Absolute)",,"Time, s","R4_Node15004 (Absolute)",,"Time, s","R4_Node15004 (Absolute)",,"Time, s","R4_Node15004 (Absolute)",,"Time, s","R4_Node15004 (Absolute)",,"Time, s","R4_Node15004 (Absolute)",,"Time, s","R4_Node15004 (Absolute)",,"Time, s","R4_Node15004 (Absolute)"
"0","0.020056157875",,"0","0.020056157875",,"0","0.020056157875",,"0","0.020056157875",,"0","0.020056157875",,"0","0.020056157875",,"0","0.020056157875",,"0","0.020056157875"
"0.000125","0.0198001781212",,"4.16666666667e-05","0.0197877216152",,"2.5e-05","0.0198217723476",,"1.78571428571e-05","0.0198602642833",,"1.38888888889e-05","0.0198949323115",,"1.13636363636e-05","0.0199244415145",,"9.61538461538e-06","0.0199489712509",,"8.33333333333e-06","0.0199693317575"
"0.00025","0.0236789458972",,"8.33333333333e-05","0.0226688966752",,"5e-05","0.0220959877715",,"3.57142857143e-05","0.0217222913531",,"2.77777777778e-05","0.0214582889182",,"2.27272727273e-05","0.0212617801867",,"1.92307692308e-05","0.0211096651803",,"1.66666666667e-05","0.0209885691907"
"0.000375","0.0281709313792",,"0.000125","0.0266066870668",,"7.5e-05","0.0255555617012",,"5.35714285714e-05","0.0247917307804",,"4.16666666667e-05","0.0242059422331",,"3.40909090909e-05","0.0237398055591",,"2.88461538462e-05","0.0233585878212",,"2.5e-05","0.0230403589853"
"0.0005","0.0312639748834",,"0.000166666666667","0.0297636606954",,"0.0001","0.028596579835",,"7.14285714286e-05","0.0276790030153",,"5.55555555556e-05","0.0269352865517",,"4.54545454545e-05","0.0263169079325",,"3.84615384615e-05","0.0257923316446",,"3.33333333333e-05","0.0253400922735"
"0.000625","0.0335632293048",,"0.000208333333333","0.0322323651668",,"0.000125","0.0310920745556",,"8.92857142857e-05","0.0301430700512",,"6.94444444444e-05","0.0293430349988",,"5.68181818182e-05","0.0286570792567",,"4.80769230769e-05","0.0280601126248",,"4.16666666667e-05","0.0275339328404"
"0.00075","0.0351705870824",,"0.00025","0.0340574325734",,"0.00015","0.0330154306644",,"0.000107142857143","0.0321048677002",,"8.33333333333e-05","0.0313124782812",,"6.81818181818e-05","0.0306168571073",,"5.76923076923e-05","0.0299994901008",,"5e-05","0.0294462771926"
"0.000875","0.0351880816812",,"0.000291666666667","0.0345753337302",,"0.000175","0.033815842613",,"0.000125","0.03308125553",,"9.72222222222e-05","0.0324066928531",,"7.95454545455e-05","0.0317932820844",,"6.73076923077e-05","0.0312346701798",,"5.83333333333e-05","0.0307236927618"
"0.001","0.0343791144815",,"0.000333333333333","0.0342107655015",,"0.0002","0.033760960331",,"0.000142857142857","0.0332422978652",,"0.000111111111111","0.0327268188387",,"9.09090909091e-05","0.032236349316",,"7.69230769231e-05","0.0317759271023",,"6.66666666667e-05","0.0313450289506"
"0.001125","0.0338574899341",,"0.000375","0.0338389229999",,"0.000225","0.0335673124179",,"0.000160714285714","0.0331916042699",,"0.000125","0.0327886567797",,"0.000102272727273","0.0323896023102",,"8.65384615385e-05","0.0320058871008",,"7.5e-05","0.0316409059519"
"0.00125","0.0338363038835",,"0.000416666666667","0.0337838798297",,"0.00025","0.0335736193153",,"0.000178571428571","0.0332653447525",,"0.000138888888889","0.0329197956026",,"0.000113636363636","0.0325684818609",,"9.61538461538e-05","0.0322255439672",,"8.33333333333e-05","0.0318965221535"
"0.001375","0.0345003795461",,"0.000458333333333","0.0342749707776",,"0.000275","0.0340144558686",,"0.000196428571429","0.0336952025082",,"0.000152777777778","0.033348399918",,"0.000125","0.0329977613908",,"0.000105769230769","0.0326557326087",,"9.16666666667e-05","0.0323278185276"
"0.0015","0.0356648759405",,"0.0005","0.0352515059334",,"0.0003","0.0348915735245",,"0.000214285714286","0.0345174929201",,"0.000166666666667","0.0341336730969",,"0.000136363636364","0.0337531505968",,"0.000115384615385","0.0333847481195",,"0.0001","0.0330330788046"
"0.001625","0.03720237669",,"0.000541666666667","0.0366168752349",,"0.000325","0.0361399797937",,"0.000232142857143","0.0356893477985",,"0.000180555555556","0.0352490491719",,"0.000147727272727","0.0348219885452",,"0.000125","0.0344122751411",,"0.000108333333333","0.0340226743373"
"0.00175","0.0384386116433",,"0.000583333333333","0.0378435577962",,"0.00035","0.0373291359632",,"0.00025","0.0368483487661",,"0.000194444444444","0.0363838372424",,"0.000159090909091","0.0359346469221",,"0.000134615384615","0.0355027883328",,"0.000116666666667","0.0350903621734"
"0.001875","0.0388436799193",,"0.000625","0.0384360836264",,"0.000375","0.0380098704815",,"0.000267857142857","0.0375859388344",,"0.000208333333333","0.0371634686297",,"0.000170454545455","0.0367458022149",,"0.000144230769231","0.0363372309369",,"0.000125","0.0359408112424"
"0.002","0.0388458652886",,"0.000666666666667","0.0386131627542",,"0.0004","0.0382973052017",,"0.000285714285714","0.0379537695926",,"0.000222222222222","0.0375961415114",,"0.000181818181818","0.0372325174325",,"0.000153846153846","0.0368691630645",,"0.000133333333333","0.0365102729771"
"0.002125","0.037978349391",,"0.000708333333333","0.0380416380652",,"0.000425","0.0379231649957",,"0.000303571428571","0.0377246587387",,"0.000236111111111","0.037482044015",,"0.000193181818182","0.0372137187501",,"0.000163461538462","0.0369309613985",,"0.000141666666667","0.0366414478333"
"0.00225","0.0366954312793",,"0.00075","0.0370021042612",,"0.00045","0.0370770920385",,"0.000321428571429","0.0370314297276",,"0.00025","0.0369150824922",,"0.000204545454545","0.03675446368",,"0.000173076923077","0.0365655542943",,"0.00015","0.0363588282195"
"0.002375","0.0359501613378",,"0.000791666666667","0.0362585354606",,"0.000475","0.036391561649",,"0.000339285714286","0.0364103459735",,"0.000263888888889","0.0363571590876",,"0.000215909090909","0.0362569173882",,"0.000182692307692","0.0361252644908",,"0.000158333333333","0.0359725076508"
"0.0025","0.0358734844399",,"0.000833333333333","0.0360524770547",,"0.0005","0.0361430851206",,"0.000357142857143","0.0361491778709",,"0.000277777777778","0.0360965156742",,"0.000227272727273","0.0360041806981",,"0.000192307692308","0.035884907608",,"0.000166666666667","0.0357475770164"
"0.002625","0.0364835616323",,"0.000875","0.0364450644621",,"0.000525","0.0364226998173",,"0.000375","0.0363599220058",,"0.000291666666667","0.0362604368366",,"0.000238636363636","0.0361342361097",,"0.000201923076923","0.0359900945795",,"0.000175","0.0358343137343"
"0.00275","0.0376648344367",,"0.000916666666667","0.0373672193585",,"0.00055","0.0371931186956",,"0.000392857142857","0.037030152772",,"0.000305555555556","0.0368569245251",,"0.00025","0.0366723894989",,"0.000211538461538","0.0364801964426",,"0.000183333333333","0.0362838766407"
"0.002875","0.039316554774",,"0.000958333333333","0.0387348342364",,"0.000575","0.0383808337287",,"0.000410714285714","0.0380965622097",,"0.000319444444444","0.0378333474467",,"0.000261363636364","0.0375770812057",,"0.000221153846154","0.0373244088935",,"0.000191666666667","0.037075940341"
"0.003","0.0399093316911",,"0.001","0.0393549289458",,"0.0006","0.0390004274026",,"0.000428571428571","0.0387203225924",,"0.000333333333333","0.0384634848194",,"0.000272727272727","0.0382121560921",,"0.000230769230769","0.0379617420759",,"0.0002","0.0377123169302"
"0.003125","0.0376858560363",,"0.00104166666667","0.03763120738",,"0.000625","0.0376090900792",,"0.000446428571429","0.0375898040684",,"0.000347222222222","0.0375482358315",,"0.000284090909091","0.0374775687013",,"0.000240384615385","0.0373795014126",,"0.000208333333333","0.037258686736"
"0.00325","0.0342778114082",,"0.00108333333333","0.0345630682107",,"0.00065","0.0348364257231",,"0.000464285714286","0.0350884272539",,"0.000361111111111","0.0352970344738",,"0.000295454545455","0.0354555029893",,"0.00025","0.035565479482",,"0.000216666666667","0.0356325210143"
"0.003375","0.0310630627033",,"0.001125","0.0314815486203",,"0.000675","0.0318864605513",,"0.000482142857143","0.0322831041819",,"0.000375","0.0326461900022",,"0.000306818181818","0.0329629011005",,"0.000259615384615","0.0332299916944",,"0.000225","0.0334494973712"
"0.0035","0.0267794100501",,"0.00116666666667","0.0275953133664",,"0.0007","0.0282646222372",,"0.0005","0.0288735907507",,"0.000388888888889","0.0294252903278",,"0.000318181818182","0.0299166403282",,"0.000269230769231","0.0303483013986",,"0.000233333333333","0.0307237551027"
"0.003625","0.0228428446194",,"0.00120833333333","0.0238564525506",,"0.000725","0.0246905843019",,"0.000517857142857","0.0254422884755",,"0.000402777777778","0.0261264671858",,"0.000329545454545","0.0267446683186",,"0.000278846153846","0.0272992359698",,"0.000241666666667","0.0277943187926"
