"Case Range","1",,,"2",,,"3",,,"4",,,"5",,,"6",,,"7",,,"8"
"Time, s","R4_ (Z)",,"Time, s","R4_ (Z)",,"Time, s","R4_ (Z)",,"Time, s","R4_ (Z)",,"Time, s","R4_ (Z)",,"Time, s","R4_ (Z)",,"Time, s","R4_ (Z)",,"Time, s","R4_ (Z)"
"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0"
"0.000125","206911.705327",,"4.16666666667e-05","520820.55732",,"2.5e-05","717653.744796",,"1.78571428571e-05","846657.410919",,"1.38888888889e-05","934775.052744",,"1.13636363636e-05","996749.632526",,"9.61538461538e-06","1040809.30179",,"8.33333333333e-06","1072589.84037"
"0.00025","1515124.4792",,"8.33333333333e-05","2949746.04856",,"5e-05","3598803.40603",,"3.57142857143e-05","3913517.38264",,"2.77777777778e-05","4056038.9666",,"2.27272727273e-05","4101667.93981",,"1.92307692308e-05","4089723.48806",,"1.66666666667e-05","4042905.63932"
"0.000375","2045495.90708",,"0.000125","4693328.23187",,"7.5e-05","6187280.69343",,"5.35714285714e-05","7065899.09753",,"4.16666666667e-05","7583157.53761",,"3.40909090909e-05","7873816.28185",,"2.88461538462e-05","8015985.84861",,"2.5e-05","8057879.24199"
"0.0005","1667688.0694",,"0.000166666666667","4642157.77367",,"0.0001","6756605.8783",,"7.14285714286e-05","8229821.35964",,"5.55555555556e-05","9259887.66756",,"4.54545454545e-05","9978643.73158",,"3.84615384615e-05","10473317.9246",,"3.33333333333e-05","10802887.3008"
"0.000625","1524886.41414",,"0.000208333333333","4444067.44379",,"0.000125","6799123.20959",,"8.92857142857e-05","8608454.94408",,"6.94444444444e-05","9989277.71429",,"5.68181818182e-05","11042999.2744",,"4.80769230769e-05","11845710.6189",,"4.16666666667e-05","12453466.5368"
"0.00075","1204397.61684",,"0.00025","3857699.99918",,"0.00015","6257802.40148",,"0.000107142857143","8251317.33432",,"8.33333333333e-05","9871972.05578",,"6.81818181818e-05","11182271.9968",,"5.76923076923e-05","12240166.0523",,"5e-05","13093319.612"
"0.000875","298711.653762",,"0.000291666666667","2061592.31026",,"0.000175","4180778.76104",,"0.000125","6176330.40665",,"9.72222222222e-05","7936029.70488",,"7.95454545455e-05","9452091.14058",,"6.73076923077e-05","10746705.2124",,"5.83333333333e-05","11847873.794"
"0.001","-262600.15634",,"0.000333333333333","441742.36053",,"0.0002","1936318.72134",,"0.000142857142857","3622050.44059",,"0.000111111111111","5266763.70218",,"9.09090909091e-05","6787900.62306",,"7.69230769231e-05","8161840.9398",,"6.66666666667e-05","9388698.95871"
"0.001125","-203221.217527",,"0.000375","-65347.8916207",,"0.000225","819465.196228",,"0.000160714285714","2053157.24114",,"0.000125","3394166.87326",,"0.000102272727273","4725474.85183",,"8.65384615385e-05","5993218.86692",,"7.5e-05","7174946.02018"
"0.00125","32507.1359572",,"0.000416666666667","94611.0767282",,"0.00025","622736.432403",,"0.000178571428571","1493458.39044",,"0.000138888888889","2531542.38794",,"0.000113636363636","3626646.4561",,"9.61538461538e-05","4717418.93355",,"8.33333333333e-05","5770894.52548"
"0.001375","362113.080596",,"0.000458333333333","692825.660942",,"0.000275","1134953.12021",,"0.000196428571429","1803146.02135",,"0.000152777777778","2621505.21623",,"0.000125","3514363.32301",,"0.000105769230769","4430038.69761",,"9.16666666667e-05","5336519.78138"
"0.0015","641041.346046",,"0.0005","1393616.28543",,"0.0003","1968967.85091",,"0.000214285714286","2612591.89623",,"0.000166666666667","3339898.18992",,"0.000136363636364","4118966.52203",,"0.000115384615385","4917870.33676",,"0.0001","5714049.48568"
"0.001625","871487.835991",,"0.000541666666667","2085549.59966",,"0.000325","2929613.22556",,"0.000232142857143","3686786.57685",,"0.000180555555556","4439048.79964",,"0.000147727272727","5196459.72534",,"0.000125","5950292.94368",,"0.000108333333333","6690272.43732"
"0.00175","757744.778837",,"0.000583333333333","2154715.37523",,"0.00035","3246320.2935",,"0.00025","4185353.21567",,"0.000194444444444","5057157.97111",,"0.000159090909091","5890326.15397",,"0.000134615384615","6690968.92552",,"0.000116666666667","7458582.88328"
"0.001875","346733.357727",,"0.000625","1475149.88904",,"0.000375","2601694.78915",,"0.000267857142857","3645239.81841",,"0.000208333333333","4628197.63641",,"0.000170454545455","5563949.69527",,"0.000144230769231","6456546.03257",,"0.000125","7306043.6746"
"0.002","89306.2164588",,"0.000666666666667","808722.989943",,"0.0004","1766613.95586",,"0.000285714285714","2758171.08084",,"0.000222222222222","3741378.15098",,"0.000181818181818","4702641.95236",,"0.000153846153846","5634465.49923",,"0.000133333333333","6530911.43066"
"0.002125","-385579.808259",,"0.000708333333333","-284242.578505",,"0.000425","350210.58043",,"0.000303571428571","1180377.21078",,"0.000236111111111","2088566.5733",,"0.000193181818182","3024548.63199",,"0.000163461538462","3961368.83038",,"0.000141666666667","4883389.81568"
"0.00225","-704716.075394",,"0.00075","-1247922.5989",,"0.00045","-1068159.96841",,"0.000321428571429","-535000.871236",,"0.00025","180169.697812",,"0.000204545454545","992026.186312",,"0.000173076923077","1852592.82115",,"0.00015","2732506.12382"
"0.002375","-616458.448334",,"0.000791666666667","-1464967.86208",,"0.000475","-1682856.89339",,"0.000339285714286","-1491328.33646",,"0.000263888888889","-1050720.52201",,"0.000215909090909","-456025.044166",,"0.000182692307692","233628.769793",,"0.000158333333333","979707.392694"
"0.0025","-358773.378522",,"0.000833333333333","-1153374.37921",,"0.0005","-1570430.62752",,"0.000357142857143","-1627941.5989",,"0.000277777777778","-1428867.01232",,"0.000227272727273","-1052851.19811",,"0.000192307692308","-555722.481394",,"0.000166666666667","22990.8251916"
"0.002625","91843.3312707",,"0.000875","-305602.68029",,"0.000525","-692384.26634",,"0.000375","-861076.629446",,"0.000291666666667","-824472.547144",,"0.000238636363636","-626145.129972",,"0.000201923076923","-305502.846323",,"0.000175","104953.436877"
"0.00275","608678.946422",,"0.000916666666667","856617.270889",,"0.00055","727109.583854",,"0.000392857142857","617236.667813",,"0.000305555555556","613302.145282",,"0.00025","720521.815804",,"0.000211538461538","924351.895345",,"0.000183333333333","1206589.15915"
"0.002875","1123500.31338",,"0.000958333333333","2165451.91549",,"0.000575","2476728.26888",,"0.000410714285714","2584101.6646",,"0.000319444444444","2667046.69461",,"0.000261363636364","2783862.93414",,"0.000221153846154","2949795.81301",,"0.000191666666667","3165243.33965"
"0.003","1014011.14045",,"0.001","2429751.12721",,"0.0006","3147487.52659",,"0.000428571428571","3556006.62645",,"0.000333333333333","3847507.80893",,"0.000272727272727","4103491.0926",,"0.000230769230769","4358455.10784",,"0.0002","4625976.0236"
"0.003125","68658.6981559",,"0.00104166666667","855585.718719",,"0.000625","1535152.81385",,"0.000446428571429","2064179.41446",,"0.000347222222222","2517431.75415",,"0.000284090909091","2939139.16228",,"0.000240384615385","3350351.61829",,"0.000208333333333","3760179.39172"
"0.00325","-597048.51493",,"0.00108333333333","-756921.182125",,"0.00065","-530877.251245",,"0.000464285714286","-216670.868085",,"0.000361111111111","143834.296839",,"0.000295454545455","541350.601625",,"0.00025","969337.868747",,"0.000216666666667","1421173.04727"
"0.003375","-831420.810854",,"0.001125","-1626511.90012",,"0.000675","-1868199.7727",,"0.000482142857143","-1878675.38336",,"0.000375","-1748174.78919",,"0.000306818181818","-1515217.03458",,"0.000259615384615","-1204180.99688",,"0.000225","-833860.194082"
"0.0035","-1509248.9516",,"0.00116666666667","-3161565.22103",,"0.0007","-3920707.2371",,"0.0005","-4265643.0634",,"0.000388888888889","-4363512.87645",,"0.000318181818182","-4291011.52289",,"0.000269230769231","-4093536.0756",,"0.000233333333333","-3802516.22775"
"0.003625","-1660956.49345",,"0.00120833333333","-3956749.65176",,"0.000725","-5281701.84918",,"0.000517857142857","-6066335.35308",,"0.000402777777778","-6507317.59915",,"0.000329545454545","-6705713.07949",,"0.000278846153846","-6723968.73627",,"0.000241666666667","-6605119.32847"
"0.00375","-996104.033344",,"0.00125","-3117811.5661",,"0.00075","-4718351.1185",,"0.000535714285714","-5867447.00956",,"0.000416666666667","-6675634.59359",,"0.000340909090909","-7218576.38864",,"0.000288461538462","-7551063.92977",,"0.00025","-7714938.78952"
"0.003875","-441873.461281",,"0.00129166666667","-1964777.07798",,"0.000775","-3444543.22867",,"0.000553571428571","-4676944.78911",,"0.000430555555556","-5660641.97601",,"0.000352272727273","-6421173.15582",,"0.000298076923077","-6987576.15696",,"0.000258333333333","-7388212.0638"
"0.004","-157235.243627",,"0.00133333333333","-1128859.01888",,"0.0008","-2322366.79617",,"0.000571428571429","-3446431.46125",,"0.000444444444444","-4429101.77756",,"0.000363636363636","-5254417.42204",,"0.000307692307692","-5925999.84599",,"0.000266666666667","-6456458.7205"
