"Time, s","Air Region [Case 28]","Air Region 2 [Case 28]","Rotor/airRegion [Case 28]","Rotor/airRegion [Case 28]","Rotor/airRegion [Case 28]","Rotor/airRegion [Case 28]","Rotor/airRegion.2 [Case 28]","Rotor/airRegion.2 [Case 28]","Rotor/airRegion.2 [Case 28]","Rotor/airRegion.2 [Case 28]","Rotor/Magnet1 [Case 28]","Rotor/Magnet1 [Case 28]","Rotor/Magnet1 [Case 28]","Rotor/Magnet1 [Case 28]","Rotor/Magnet2 [Case 28]","Rotor/Magnet2 [Case 28]","Rotor/Magnet2 [Case 28]","Rotor/Magnet2 [Case 28]","Rotor/RotorCore [Case 28]","Rotor/Shaft [Case 28]","Stator/Slot1/Wire1 [Case 28]","Stator/Slot1/Wire2 [Case 28]","Stator/Slot1/Wire3 [Case 28]","Stator/Slot1/Wire4 [Case 28]","Stator/Slot2/Wire1 [Case 28]","Stator/Slot2/Wire2 [Case 28]","Stator/Slot2/Wire3 [Case 28]","Stator/Slot2/Wire4 [Case 28]","Stator/Slot3/Wire1 [Case 28]","Stator/Slot3/Wire2 [Case 28]","Stator/Slot3/Wire3 [Case 28]","Stator/Slot3/Wire4 [Case 28]","Stator/Slot4/Wire1 [Case 28]","Stator/Slot4/Wire2 [Case 28]","Stator/Slot4/Wire3 [Case 28]","Stator/Slot4/Wire4 [Case 28]","Stator/Slot5/Wire1 [Case 28]","Stator/Slot5/Wire2 [Case 28]","Stator/Slot5/Wire3 [Case 28]","Stator/Slot5/Wire4 [Case 28]","Stator/Slot6/Wire1 [Case 28]","Stator/Slot6/Wire2 [Case 28]","Stator/Slot6/Wire3 [Case 28]","Stator/Slot6/Wire4 [Case 28]","Stator/Slot7/Wire1 [Case 28]","Stator/Slot7/Wire2 [Case 28]","Stator/Slot7/Wire3 [Case 28]","Stator/Slot7/Wire4 [Case 28]","Stator/Slot8/Wire1 [Case 28]","Stator/Slot8/Wire2 [Case 28]","Stator/Slot8/Wire3 [Case 28]","Stator/Slot8/Wire4 [Case 28]","Stator/Slot9/Wire1 [Case 28]","Stator/Slot9/Wire2 [Case 28]","Stator/Slot9/Wire3 [Case 28]","Stator/Slot9/Wire4 [Case 28]","Stator/Slot10/Wire1 [Case 28]","Stator/Slot10/Wire2 [Case 28]","Stator/Slot10/Wire3 [Case 28]","Stator/Slot10/Wire4 [Case 28]","Stator/Slot11/Wire1 [Case 28]","Stator/Slot11/Wire2 [Case 28]","Stator/Slot11/Wire3 [Case 28]","Stator/Slot11/Wire4 [Case 28]","Stator/Slot12/Wire1 [Case 28]","Stator/Slot12/Wire2 [Case 28]","Stator/Slot12/Wire3 [Case 28]","Stator/Slot12/Wire4 [Case 28]","Stator/StatorCore [Case 28]","Total [Case 28]"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3.47222222222e-06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","96.9770758297","98.2025175654","101.259446226","120.04616807","96.9770821474","98.2944593315","101.012450644","127.990493705","31.2953767618","21.2853454835","13.7661799893","11.113338415","10.41120592","12.923426936","19.5386508817","31.300061849","170.613686805","173.53172745","178.069319931","191.060293382","169.082826973","169.190681638","169.388978296","180.564840748","96.9796620823","98.1991502821","101.261573097","120.051169276","96.9797798917","98.291644492","101.014445781","127.978381035","31.2228366871","21.2198111827","13.7305851183","11.1046419219","10.409705175","12.893813501","19.4867945066","31.2164748674","170.605614325","173.531950185","178.057790235","191.05261518","169.077704248","169.196460006","169.384343179","180.568050066","0","4787.4106313"
"6.94444444444e-06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","102.036709569","104.949110029","112.129032333","150.423892073","101.87638097","103.913385995","107.985177542","183.24595246","36.0177916949","21.9204681141","11.7809303667","10.1506878902","10.8329576498","20.3218132697","36.2021253797","61.8563294276","171.642626712","177.853295697","186.664077763","212.917636061","166.415026434","166.588446593","166.904843061","183.981375317","102.036187849","104.950844001","112.132061513","150.445681593","101.87577689","103.913406371","107.983052476","183.225581049","35.9180685078","21.8272923224","11.7354743788","10.1491560166","10.803885795","20.2454178363","36.0902856731","61.6912865266","171.618332541","177.858212848","186.633408524","212.907944017","166.398420251","166.605420595","166.888232546","183.99295172","0","5216.53645424"
"1.04166666667e-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","107.111365973","112.066352907","124.413312736","184.709113599","106.767422683","109.452922574","114.669269049","233.679355261","45.6115982101","25.8714092579","11.5101741894","9.30421093045","13.0037841444","30.3035171202","56.3138589628","97.7497988037","174.177737016","184.342728864","197.54976947","238.447313119","163.5583637","163.927407775","164.541971576","178.020406448","107.107073998","112.075795441","124.41828015","184.754564528","106.762292728","109.456747972","114.661603523","233.647249729","45.4376016371","25.7108164756","11.4306165765","9.30205735224","12.9319254632","30.1476617492","56.0934547155","97.4349734727","174.132369597","184.351824949","197.494003582","238.430177123","163.527324134","163.957912396","164.510685575","178.045274241","0","5692.92545148"
"1.38888888889e-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","112.199684525","119.493099197","137.909476048","215.035060053","111.631676287","114.658924375","120.387092744","270.646175773","60.9897707048","34.2136076722","13.7134649028","8.16475210029","15.4890037195","40.5217269572","76.3686038512","133.614724397","178.014412248","192.383355231","209.36526476","263.902977923","160.507353773","161.27115022","162.540427863","170.979083197","112.189515474","119.513752008","137.917954943","215.099977464","111.619948602","114.668903047","120.372389487","270.618805994","60.7589548158","34.0001607544","13.598453428","8.1452528605","15.3889435588","40.3142132256","76.0773678804","133.201958971","177.956664471","192.399886502","209.296710173","263.89177744","160.465219687","161.310244422","162.49649146","171.020900852","0","6166.32531604"
"1.73611111111e-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","117.26913306","126.962039918","151.691591139","240.206607863","116.464267989","119.566590601","125.349866856","289.223521318","82.5069090667","47.5685904632","19.1501856276","7.5345191262","18.9627397108","51.8138892746","97.3334609381","170.392280744","184.115600915","203.451176783","223.710960814","292.299923137","157.278964206","158.646552423","161.054242715","173.447935779","117.25470445","126.988571625","151.700936647","240.283025271","116.448452389","119.580997682","125.332058342","289.19677309","82.2001479944","47.3030677847","18.9946915794","7.48396344438","18.8462280775","51.5672151932","96.9889104353","169.905690732","184.04975877","203.469710099","223.633079058","292.288247576","157.230668405","158.690092049","161.002267814","173.504081651","0","6669.94489063"
"2.08333333333e-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","122.240178657","133.937796066","163.753407913","260.054076484","121.231268556","124.271110831","129.974595128","289.843879151","107.350020693","64.0043946832","26.8992553797","8.05857415759","23.7167954091","63.7603065588","118.494267173","206.870981102","193.86082494","218.967254855","241.892563095","325.300643468","153.884972127","156.069252861","160.193452483","189.920024227","122.224674503","133.963479089","163.757944079","260.118341716","121.21469002","124.286776537","129.957198136","289.826124339","107.046795619","63.791659394","26.7706264355","8.00338076047","23.643038498","63.5711820907","118.228969046","206.491855544","193.806911597","218.989802703","241.830000914","325.3011766","153.841410799","156.107084686","160.145463988","189.973039764","0","7207.44152286"
"2.43055555556e-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","127.09034428","140.275185451","173.45581598","269.971939409","125.901838971","128.649223196","134.06245809","278.612331309","131.000549672","79.4708133315","33.9391034265","8.69145869966","28.3710451922","74.511541096","137.321380881","239.514866701","203.625676776","234.083789241","258.421127498","358.264925171","150.360021981","153.562874797","160.119557416","217.824900486","127.069765975","140.307014662","173.460431951","270.047257147","125.880867057","128.66939711","134.041079041","278.592768168","130.476837688","79.1524780246","33.7434265676","8.60202345246","28.2445642456","74.2382279452","136.940733767","238.979588741","203.555308966","234.102575034","258.338421945","358.2547645","150.308583729","153.606914104","160.060878966","217.895568177","0","7691.67224601"
"2.77777777778e-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","131.744205037","145.773310012","180.395092538","269.739781253","130.422120815","132.646028962","137.574950496","260.063681658","150.635651591","90.7582405081","37.4345931904","7.77275522734","31.8049589452","82.5492347413","151.80557974","265.545557536","206.385473349","239.274885198","262.298590721","374.463356232","146.732857227","151.265822403","161.272641551","249.622942121","131.721635642","145.802560469","180.391798719","269.798887656","130.400045741","132.667952081","137.553336299","260.048133976","150.09349711","90.464736878","37.2613022115","7.69941775008","31.6864928825","82.3160732193","151.480543368","265.083914017","206.297596048","239.283486566","262.197103457","374.461580643","146.677091077","151.315840167","161.209298959","249.696829359","0","7993.59146535"
"3.125e-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","136.160031735","150.398490628","184.770992006","265.263350523","134.801782367","136.341284145","140.817156242","239.2873554","164.98559623","95.9310766328","36.4561612581","5.5087450279","34.5781524402","89.0071956371","163.552355488","287.09589635","203.573824098","236.859925469","257.835460669","375.271335222","143.039102632","149.139507316","163.345144025","278.862808256","136.135445309","150.425256284","184.760236322","265.306869733","134.778488175","136.3647078","140.794029295","239.273086997","164.493261964","95.6751142826","36.3108075848","5.45876147167","34.4795582571","88.83150887","163.306006686","286.74203567","203.449918045","236.846054252","257.684922065","375.24064438","142.97360063","149.204391413","163.276448165","278.965680865","0","8143.65956431"
