"[Cases] Joule Loss"
"","Total, W"
"1","18.1060449973"
"2","18.1027517159"
"3","18.0999288751"
"4","18.0980124579"
"5","18.0973009157"
"6","233.20891243"
"7","219.045090623"
"8","206.280943366"
"9","196.961280566"
"10","193.736854376"
"11","855.322507702"
"12","806.838563505"
"13","767.348214289"
"14","744.022080777"
"15","735.57503866"
"16","1838.96059637"
"17","1766.02775365"
"18","1697.94920078"
"19","1662.34854886"
"20","1642.95751807"
"21","3184.90648703"
"22","3092.59303235"
"23","3006.50771002"
"24","2949.14093221"
"25","2918.03980235"
"26","4890.54414253"
"27","4791.12500592"
"29","4600.1494731"
"30","4565.89821211"
