10 Solution 1 Rotate Step 0.0000
1 21272 ElementsTable

TriIndex, Node1 , Node2 , Node3 ,RegCode ,   Bx   ,   By   ,       A       ,       J       ,      Je       
  [-]   ,  [-]  ,  [-]  ,  [-]  ,        ,  [T]   ,  [T]   ,    [Wb/m]     ,    [A/mm2]    ,    [A/mm2]    
--------,-------,-------,-------, -------, -------, -------, --------------, --------------, --------------
       1,   1533,   1534,   1535,      25,  -0.504,   0.832,        -0.0377,         -70.08,           0.00
       2,   1533,   1535,   1662,      25,  -0.245,   0.785,        -0.0385,         -70.08,           0.00
       3,   1535,   1536,   1662,      25,  -0.340,   0.918,        -0.0382,         -70.08,           0.00
       4,   1536,   1663,   1662,      25,  -0.200,   0.777,        -0.0390,         -70.08,           0.00
       5,   1536,   1537,   1663,      25,  -0.226,   0.863,        -0.0388,         -70.08,           0.00
       6,   1537,   1664,   1663,      25,  -0.154,   0.735,        -0.0394,         -70.08,           0.00
       7,   1537,   1538,   1664,      25,  -0.140,   0.810,        -0.0393,         -70.08,           0.00
       8,   1538,   1539,   1664,      25,  -0.116,   0.691,        -0.0399,         -70.08,           0.00
       9,   1532,   1533,   1662,      25,  -0.322,   0.701,        -0.0380,         -70.08,           0.00
      10,   1532,   1662,   1665,      25,  -0.177,   0.765,        -0.0387,         -70.08,           0.00
      11,   1662,   1663,   1665,      25,  -0.245,   0.785,        -0.0385,         -70.08,           0.00
      12,   1663,   1666,   1665,      25,  -0.170,   0.737,        -0.0391,         -70.08,           0.00
      13,   1663,   1664,   1666,      25,  -0.200,   0.777,        -0.0390,         -70.08,           0.00
      14,   1664,   1667,   1666,      25,  -0.145,   0.693,        -0.0396,         -70.08,           0.00
      15,   1664,   1539,   1667,      25,  -0.154,   0.735,        -0.0394,         -70.08,           0.00
      16,   1539,   1540,   1667,      25,  -0.117,   0.656,        -0.0400,         -70.08,           0.00
      17,   1531,   1532,   1665,      25,  -0.146,   0.723,        -0.0382,         -70.08,           0.00
      18,   1531,   1665,   1668,      25,  -0.166,   0.778,        -0.0388,         -70.08,           0.00
      19,   1665,   1666,   1668,      25,  -0.177,   0.765,        -0.0387,         -70.08,           0.00
      20,   1666,   1669,   1668,      25,  -0.162,   0.716,        -0.0393,         -70.08,           0.00
      21,   1666,   1667,   1669,      25,  -0.170,   0.737,        -0.0391,         -70.08,           0.00
      22,   1667,   1670,   1669,      25,  -0.140,   0.662,        -0.0397,         -70.08,           0.00
      23,   1667,   1540,   1670,      25,  -0.145,   0.693,        -0.0396,         -70.08,           0.00
      24,   1540,   1541,   1670,      25,  -0.113,   0.623,        -0.0401,         -70.08,           0.00
      25,   1530,   1531,   1668,      25,  -0.106,   0.844,        -0.0383,         -70.08,           0.00
      26,   1530,   1668,   1671,      25,  -0.206,   0.767,        -0.0390,         -70.08,           0.00
      27,   1668,   1669,   1671,      25,  -0.166,   0.778,        -0.0388,         -70.08,           0.00
      28,   1669,   1672,   1671,      25,  -0.174,   0.686,        -0.0394,         -70.08,           0.00
      29,   1669,   1670,   1672,      25,  -0.162,   0.716,        -0.0393,         -70.08,           0.00
      30,   1670,   1673,   1672,      25,  -0.139,   0.626,        -0.0398,         -70.08,           0.00
      31,   1670,   1541,   1673,      25,  -0.140,   0.662,        -0.0397,         -70.08,           0.00
      32,   1541,   1518,   1673,      25,  -0.107,   0.590,        -0.0402,         -70.08,           0.00
      33,   1529,   1530,   1671,      25,  -0.208,   0.897,        -0.0385,         -70.08,           0.00
      34,   1529,   1671,   1674,      25,  -0.264,   0.700,        -0.0392,         -70.08,           0.00
      35,   1671,   1672,   1674,      25,  -0.206,   0.767,        -0.0390,         -70.08,           0.00
      36,   1672,   1675,   1674,      25,  -0.188,   0.629,        -0.0396,         -70.08,           0.00
      37,   1672,   1673,   1675,      25,  -0.174,   0.686,        -0.0394,         -70.08,           0.00
      38,   1673,   1676,   1675,      25,  -0.135,   0.580,        -0.0399,         -70.08,           0.00
      39,   1673,   1518,   1676,      25,  -0.139,   0.626,        -0.0398,         -70.08,           0.00
      40,   1518,   1519,   1676,      25,  -0.096,   0.552,        -0.0403,         -70.08,           0.00
      41,   1528,   1529,   1674,      25,  -0.361,   0.863,        -0.0387,         -70.08,           0.00
      42,   1528,   1674,   1677,      25,  -0.273,   0.573,        -0.0394,         -70.08,           0.00
      43,   1674,   1675,   1677,      25,  -0.264,   0.700,        -0.0392,         -70.08,           0.00
      44,   1675,   1678,   1677,      25,  -0.175,   0.547,        -0.0397,         -70.08,           0.00
      45,   1675,   1676,   1678,      25,  -0.188,   0.629,        -0.0396,         -70.08,           0.00
      46,   1676,   1679,   1678,      25,  -0.114,   0.523,        -0.0400,         -70.08,           0.00
      47,   1676,   1519,   1679,      25,  -0.135,   0.580,        -0.0399,         -70.08,           0.00
      48,   1519,   1520,   1679,      25,  -0.072,   0.511,        -0.0404,         -70.08,           0.00
      49,   1527,   1528,   1677,      25,  -0.468,   0.641,        -0.0390,         -70.08,           0.00
      50,   1527,   1677,   1680,      25,  -0.200,   0.438,        -0.0396,         -70.08,           0.00
      51,   1677,   1678,   1680,      25,  -0.273,   0.573,        -0.0394,         -70.08,           0.00
      52,   1678,   1681,   1680,      25,  -0.118,   0.463,        -0.0398,         -70.08,           0.00
      53,   1678,   1679,   1681,      25,  -0.175,   0.547,        -0.0397,         -70.08,           0.00
      54,   1679,   1682,   1681,      25,  -0.067,   0.468,        -0.0401,         -70.08,           0.00
      55,   1679,   1520,   1682,      25,  -0.114,   0.523,        -0.0400,         -70.08,           0.00
      56,   1520,   1521,   1682,      25,  -0.034,   0.473,        -0.0404,         -70.08,           0.00
      57,   1526,   1527,   1680,      25,  -0.367,   0.370,        -0.0393,         -70.08,           0.00
      58,   1525,   1526,   1680,      25,  -0.077,   0.346,        -0.0397,         -70.08,           0.00
      59,   1525,   1680,   1681,      25,  -0.200,   0.438,        -0.0396,         -70.08,           0.00
      60,   1524,   1525,   1681,      25,  -0.034,   0.401,        -0.0399,         -70.08,           0.00
      61,   1524,   1681,   1682,      25,  -0.118,   0.463,        -0.0398,         -70.08,           0.00
      62,   1523,   1524,   1682,      25,  -0.004,   0.430,        -0.0402,         -70.08,           0.00
      63,   1521,   1523,   1682,      25,  -0.067,   0.468,        -0.0401,         -70.08,           0.00
      64,   1521,   1522,   1523,      25,   0.010,   0.449,        -0.0405,         -70.08,           0.00
      65,   1557,   1558,   1559,      26,  -0.060,   0.684,        -0.0401,         -70.08,           0.00
      66,   1557,   1559,   1683,      26,  -0.073,   0.610,        -0.0406,         -70.08,           0.00
      67,   1559,   1560,   1683,      26,  -0.057,   0.631,        -0.0405,         -70.08,           0.00
