10 Solution 1 Rotate Step 0.0000
1 19616 ElementsTable

TriIndex, Node1 , Node2 , Node3 ,RegCode ,   Bx   ,   By   ,       A       ,       J       ,      Je       
  [-]   ,  [-]  ,  [-]  ,  [-]  ,        ,  [T]   ,  [T]   ,    [Wb/m]     ,    [A/m2]     ,    [A/m2]     
--------,-------,-------,-------, -------, -------, -------, --------------, --------------, --------------
       1,   1287,   1288,   1289,      24,  -0.486,   0.858,        -0.0252,  -105110918.98,           0.00
       2,   1287,   1289,   1416,      24,  -0.247,   0.786,        -0.0257,  -105110918.98,           0.00
       3,   1289,   1290,   1416,      24,  -0.332,   0.884,        -0.0255,  -105110918.98,           0.00
       4,   1290,   1417,   1416,      24,  -0.199,   0.777,        -0.0260,  -105110918.98,           0.00
       5,   1290,   1291,   1417,      24,  -0.227,   0.861,        -0.0259,  -105110918.98,           0.00
       6,   1291,   1418,   1417,      24,  -0.153,   0.735,        -0.0263,  -105110918.98,           0.00
       7,   1291,   1292,   1418,      24,  -0.143,   0.819,        -0.0262,  -105110918.98,           0.00
       8,   1292,   1293,   1418,      24,  -0.115,   0.691,        -0.0266,  -105110918.98,           0.00
       9,   1286,   1287,   1416,      24,  -0.321,   0.701,        -0.0254,  -105110918.98,           0.00
      10,   1286,   1416,   1419,      24,  -0.177,   0.764,        -0.0258,  -105110918.98,           0.00
      11,   1416,   1417,   1419,      24,  -0.247,   0.786,        -0.0257,  -105110918.98,           0.00
      12,   1417,   1420,   1419,      24,  -0.170,   0.737,        -0.0261,  -105110918.98,           0.00
      13,   1417,   1418,   1420,      24,  -0.199,   0.777,        -0.0260,  -105110918.98,           0.00
      14,   1418,   1421,   1420,      24,  -0.145,   0.693,        -0.0264,  -105110918.98,           0.00
      15,   1418,   1293,   1421,      24,  -0.153,   0.735,        -0.0263,  -105110918.98,           0.00
      16,   1293,   1294,   1421,      24,  -0.116,   0.655,        -0.0267,  -105110918.98,           0.00
      17,   1285,   1286,   1419,      24,  -0.146,   0.722,        -0.0255,  -105110918.98,           0.00
      18,   1285,   1419,   1422,      24,  -0.166,   0.778,        -0.0259,  -105110918.98,           0.00
      19,   1419,   1420,   1422,      24,  -0.177,   0.764,        -0.0258,  -105110918.98,           0.00
      20,   1420,   1423,   1422,      24,  -0.161,   0.716,        -0.0262,  -105110918.98,           0.00
      21,   1420,   1421,   1423,      24,  -0.170,   0.737,        -0.0261,  -105110918.98,           0.00
      22,   1421,   1424,   1423,      24,  -0.140,   0.661,        -0.0265,  -105110918.98,           0.00
      23,   1421,   1294,   1424,      24,  -0.145,   0.693,        -0.0264,  -105110918.98,           0.00
      24,   1294,   1295,   1424,      24,  -0.113,   0.623,        -0.0268,  -105110918.98,           0.00
      25,   1284,   1285,   1422,      24,  -0.105,   0.845,        -0.0256,  -105110918.98,           0.00
      26,   1284,   1422,   1425,      24,  -0.207,   0.768,        -0.0260,  -105110918.98,           0.00
      27,   1422,   1423,   1425,      24,  -0.166,   0.778,        -0.0259,  -105110918.98,           0.00
      28,   1423,   1426,   1425,      24,  -0.174,   0.686,        -0.0263,  -105110918.98,           0.00
      29,   1423,   1424,   1426,      24,  -0.161,   0.716,        -0.0262,  -105110918.98,           0.00
      30,   1424,   1427,   1426,      24,  -0.140,   0.626,        -0.0266,  -105110918.98,           0.00
      31,   1424,   1295,   1427,      24,  -0.140,   0.661,        -0.0265,  -105110918.98,           0.00
      32,   1295,   1272,   1427,      24,  -0.107,   0.589,        -0.0268,  -105110918.98,           0.00
      33,   1283,   1284,   1425,      24,  -0.208,   0.898,        -0.0257,  -105110918.98,           0.00
      34,   1283,   1425,   1428,      24,  -0.266,   0.699,        -0.0262,  -105110918.98,           0.00
      35,   1425,   1426,   1428,      24,  -0.207,   0.768,        -0.0260,  -105110918.98,           0.00
      36,   1426,   1429,   1428,      24,  -0.189,   0.628,        -0.0264,  -105110918.98,           0.00
      37,   1426,   1427,   1429,      24,  -0.174,   0.686,        -0.0263,  -105110918.98,           0.00
      38,   1427,   1430,   1429,      24,  -0.136,   0.579,        -0.0267,  -105110918.98,           0.00
      39,   1427,   1272,   1430,      24,  -0.140,   0.626,        -0.0266,  -105110918.98,           0.00
      40,   1272,   1273,   1430,      24,  -0.096,   0.551,        -0.0269,  -105110918.98,           0.00
      41,   1282,   1283,   1428,      24,  -0.363,   0.865,        -0.0258,  -105110918.98,           0.00
      42,   1282,   1428,   1431,      24,  -0.275,   0.571,        -0.0263,  -105110918.98,           0.00
      43,   1428,   1429,   1431,      24,  -0.266,   0.699,        -0.0262,  -105110918.98,           0.00
      44,   1429,   1432,   1431,      24,  -0.176,   0.546,        -0.0265,  -105110918.98,           0.00
      45,   1429,   1430,   1432,      24,  -0.189,   0.628,        -0.0264,  -105110918.98,           0.00
      46,   1430,   1433,   1432,      24,  -0.114,   0.522,        -0.0267,  -105110918.98,           0.00
      47,   1430,   1273,   1433,      24,  -0.136,   0.579,        -0.0267,  -105110918.98,           0.00
      48,   1273,   1274,   1433,      24,  -0.073,   0.510,        -0.0270,  -105110918.98,           0.00
      49,   1281,   1282,   1431,      24,  -0.473,   0.638,        -0.0261,  -105110918.98,           0.00
      50,   1281,   1431,   1434,      24,  -0.201,   0.436,        -0.0264,  -105110918.98,           0.00
      51,   1431,   1432,   1434,      24,  -0.275,   0.571,        -0.0263,  -105110918.98,           0.00
      52,   1432,   1435,   1434,      24,  -0.119,   0.461,        -0.0266,  -105110918.98,           0.00
      53,   1432,   1433,   1435,      24,  -0.176,   0.546,        -0.0265,  -105110918.98,           0.00
      54,   1433,   1436,   1435,      24,  -0.068,   0.467,        -0.0268,  -105110918.98,           0.00
      55,   1433,   1274,   1436,      24,  -0.114,   0.522,        -0.0267,  -105110918.98,           0.00
      56,   1274,   1275,   1436,      24,  -0.034,   0.472,        -0.0270,  -105110918.98,           0.00
      57,   1280,   1281,   1434,      24,  -0.366,   0.367,        -0.0263,  -105110918.98,           0.00
      58,   1279,   1280,   1434,      24,  -0.078,   0.344,        -0.0265,  -105110918.98,           0.00
      59,   1279,   1434,   1435,      24,  -0.201,   0.436,        -0.0264,  -105110918.98,           0.00
      60,   1278,   1279,   1435,      24,  -0.035,   0.399,        -0.0267,  -105110918.98,           0.00
      61,   1278,   1435,   1436,      24,  -0.119,   0.461,        -0.0266,  -105110918.98,           0.00
      62,   1277,   1278,   1436,      24,  -0.004,   0.428,        -0.0268,  -105110918.98,           0.00
      63,   1275,   1277,   1436,      24,  -0.068,   0.467,        -0.0268,  -105110918.98,           0.00
      64,   1275,   1276,   1277,      24,   0.009,   0.448,        -0.0270,  -105110918.98,           0.00
      65,   1311,   1312,   1313,      25,  -0.058,   0.683,        -0.0268,  -105110918.98,           0.00
      66,   1311,   1313,   1437,      25,  -0.071,   0.609,        -0.0271,  -105110918.98,           0.00
      67,   1313,   1314,   1437,      25,  -0.055,   0.630,        -0.0271,  -105110918.98,           0.00
      68,   1314,   1438,   1437,      25,  -0.059,   0.552,        -0.0274,  -105110918.98,           0.00
      69,   1314,   1315,   1438,      25,  -0.036,   0.566,        -0.0273,  -105110918.98,           0.00
      70,   1315,   1439,   1438,      25,  -0.048,   0.496,        -0.0276,  -105110918.98,           0.00
      71,   1315,   1316,   1439,      25,  -0.038,   0.511,        -0.0276,  -105110918.98,           0.00
      72,   1316,   1317,   1439,      25,  -0.039,   0.454,        -0.0278,  -105110918.98,           0.00
      73,   1310,   1311,   1437,      25,  -0.090,   0.657,        -0.0269,  -105110918.98,           0.00
      74,   1310,   1437,   1440,      25,  -0.073,   0.587,        -0.0272,  -105110918.98,           0.00
      75,   1437,   1438,   1440,      25,  -0.071,   0.609,        -0.0271,  -105110918.98,           0.00
      76,   1438,   1441,   1440,      25,  -0.058,   0.534,        -0.0274,  -105110918.98,           0.00
      77,   1438,   1439,   1441,      25,  -0.059,   0.552,        -0.0274,  -105110918.98,           0.00
      78,   1439,   1442,   1441,      25,  -0.046,   0.482,        -0.0276,  -105110918.98,           0.00
      79,   1439,   1317,   1442,      25,  -0.048,   0.496,        -0.0276,  -105110918.98,           0.00
      80,   1317,   1318,   1442,      25,  -0.037,   0.443,        -0.0278,  -105110918.98,           0.00
      81,   1309,   1310,   1440,      25,  -0.093,   0.628,        -0.0269,  -105110918.98,           0.00
      82,   1309,   1440,   1443,      25,  -0.069,   0.563,        -0.0272,  -105110918.98,           0.00
      83,   1440,   1441,   1443,      25,  -0.073,   0.587,        -0.0272,  -105110918.98,           0.00
      84,   1441,   1444,   1443,      25,  -0.053,   0.514,        -0.0275,  -105110918.98,           0.00
      85,   1441,   1442,   1444,      25,  -0.058,   0.534,        -0.0274,  -105110918.98,           0.00
