10 Solution 1 Rotate Step 0.0000
1 14792 ElementsTable

TriIndex, Node1 , Node2 , Node3 ,RegCode ,   Bx   ,   By   ,       A       ,       J       ,      Je       
  [-]   ,  [-]  ,  [-]  ,  [-]  ,        ,  [T]   ,  [T]   ,    [Wb/m]     ,    [A/m2]     ,    [A/m2]     
--------,-------,-------,-------, -------, -------, -------, --------------, --------------, --------------
       1,      2,    233,    556,      19,   0.030,  -0.088,         0.0000,           0.00,           0.00
       2,    234,    235,   1249,      19,  -0.029,  -0.098,         0.0004,           0.00,           0.00
       3,    237,      4,   1250,      19,  -0.076,  -0.068,         0.0006,           0.00,           0.00
       4,    239,    240,   1251,      19,  -0.096,  -0.017,         0.0004,           0.00,           0.00
       5,    242,      6,    533,      19,  -0.085,   0.042,         0.0000,           0.00,           0.00
       6,    534,    535,   1252,      19,  -0.040,   0.019,         0.0000,           0.00,           0.00
       7,    537,    538,   1253,      19,  -0.013,   0.007,         0.0000,           0.00,           0.00
       8,    540,    541,   1264,      19,  -0.004,   0.002,         0.0000,           0.00,           0.00
       9,    544,      1,    545,      19,   0.000,   0.000,         0.0000,           0.00,           0.00
      10,    546,    547,   1255,      19,   0.000,   0.000,         0.0000,           0.00,           0.00
      11,    549,    550,   1256,      19,   0.003,  -0.009,         0.0000,           0.00,           0.00
      12,    552,    553,   1257,      19,   0.010,  -0.029,         0.0000,           0.00,           0.00
      13,    555,    556,   1258,      19,   0.022,  -0.078,         0.0000,           0.00,           0.00
      14,   1249,   1259,   1258,      19,  -0.010,  -0.070,         0.0002,           0.00,           0.00
      15,    237,   1250,   1260,      19,  -0.065,  -0.055,         0.0005,           0.00,           0.00
      16,    239,   1251,   1261,      19,  -0.086,  -0.009,         0.0003,           0.00,           0.00
      17,    533,    534,   1262,      19,  -0.065,   0.020,         0.0000,           0.00,           0.00
      18,    535,    536,   1252,      19,  -0.040,   0.019,         0.0000,           0.00,           0.00
      19,    537,   1253,   1263,      19,  -0.014,   0.005,         0.0000,           0.00,           0.00
      20,    539,    540,   1264,      19,  -0.004,   0.002,         0.0000,           0.00,           0.00
      21,    541,    542,   1254,      19,  -0.001,   0.000,         0.0000,           0.00,           0.00
      22,    545,    546,   1265,      19,   0.000,   0.000,         0.0000,           0.00,           0.00
      23,    547,    548,   1280,      19,   0.000,  -0.001,         0.0000,           0.00,           0.00
      24,    549,   1256,   1266,      19,   0.001,  -0.010,         0.0000,           0.00,           0.00
      25,    551,    552,   1267,      19,   0.007,  -0.024,         0.0000,           0.00,           0.00
      26,    553,    554,   1257,      19,   0.010,  -0.029,         0.0000,           0.00,           0.00
      27,    233,   1258,    556,      19,   0.013,  -0.082,         0.0001,           0.00,           0.00
      28,   1259,   1249,   1268,      19,  -0.022,  -0.068,         0.0003,           0.00,           0.00
      29,    237,   1260,   1268,      19,  -0.050,  -0.065,         0.0004,           0.00,           0.00
      30,      4,    238,   1250,      19,  -0.076,  -0.068,         0.0006,           0.00,           0.00
      31,    239,   1261,   1274,      19,  -0.076,  -0.030,         0.0004,           0.00,           0.00
      32,    240,    241,   1251,      19,  -0.096,  -0.017,         0.0004,           0.00,           0.00
      33,    242,    533,   1262,      19,  -0.080,   0.022,         0.0001,           0.00,           0.00
      34,    534,   1252,   1262,      19,  -0.055,   0.014,         0.0001,           0.00,           0.00
      35,    537,   1263,   1269,      19,  -0.022,   0.001,         0.0000,           0.00,           0.00
      36,    538,    539,   1253,      19,  -0.013,   0.007,         0.0000,           0.00,           0.00
      37,    541,   1254,   1264,      19,  -0.003,   0.000,         0.0000,           0.00,           0.00
      38,    544,    545,   1265,      19,   0.000,   0.000,         0.0000,           0.00,           0.00
      39,    546,   1255,   1265,      19,   0.000,   0.000,         0.0000,           0.00,           0.00
      40,   1266,   1256,   1270,      19,  -0.002,  -0.010,         0.0000,           0.00,           0.00
      41,   1267,   1271,   1270,      19,  -0.005,  -0.018,         0.0001,           0.00,           0.00
      42,    554,    555,   1272,      19,   0.015,  -0.058,         0.0000,           0.00,           0.00
      43,    233,    234,   1258,      19,   0.014,  -0.097,         0.0002,           0.00,           0.00
      44,   1259,   1268,   1273,      19,  -0.030,  -0.049,         0.0003,           0.00,           0.00
      45,    235,    236,   1249,      19,  -0.029,  -0.098,         0.0004,           0.00,           0.00
      46,   1260,   1250,   1274,      19,  -0.065,  -0.055,         0.0005,           0.00,           0.00
      47,    241,    242,   1262,      19,  -0.098,  -0.004,         0.0002,           0.00,           0.00
      48,    536,    537,   1269,      19,  -0.028,   0.007,         0.0000,           0.00,           0.00
      49,   1263,   1253,   1275,      19,  -0.014,   0.005,         0.0000,           0.00,           0.00
      50,   1264,   1254,   1276,      19,  -0.003,  -0.001,         0.0000,           0.00,           0.00
      51,    543,    544,   1265,      19,   0.000,   0.000,         0.0000,           0.00,           0.00
      52,   1266,   1270,   1277,      19,  -0.007,  -0.010,         0.0000,           0.00,           0.00
      53,    550,    551,   1256,      19,   0.003,  -0.009,         0.0000,           0.00,           0.00
      54,   1271,   1267,   1278,      19,  -0.007,  -0.023,         0.0001,           0.00,           0.00
      55,    554,   1272,   1283,      19,   0.004,  -0.053,         0.0001,           0.00,           0.00
      56,    555,   1258,   1272,      19,   0.004,  -0.053,         0.0001,           0.00,           0.00
      57,    234,   1249,   1258,      19,  -0.009,  -0.084,         0.0003,           0.00,           0.00
      58,    236,   1268,   1249,      19,  -0.034,  -0.066,         0.0004,           0.00,           0.00
      59,   1260,   1274,   1279,      19,  -0.056,  -0.039,         0.0003,           0.00,           0.00
      60,   1251,    241,   1262,      19,  -0.086,  -0.009,         0.0003,           0.00,           0.00
      61,   1252,    536,   1269,      19,  -0.036,   0.009,         0.0000,           0.00,           0.00
      62,    539,   1275,   1253,      19,  -0.014,   0.005,         0.0000,           0.00,           0.00
      63,    547,   1280,   1255,      19,  -0.001,  -0.002,         0.0000,           0.00,           0.00
      64,    551,   1270,   1256,      19,   0.001,  -0.010,         0.0000,           0.00,           0.00
      65,   1271,   1278,   1281,      19,  -0.014,  -0.025,         0.0001,           0.00,           0.00
      66,    552,   1257,   1267,      19,   0.003,  -0.025,         0.0000,           0.00,           0.00
      67,   1258,   1259,   1272,      19,  -0.002,  -0.061,         0.0002,           0.00,           0.00
      68,    236,    237,   1268,      19,  -0.045,  -0.091,         0.0005,           0.00,           0.00
      69,    238,   1274,   1250,      19,  -0.065,  -0.055,         0.0005,           0.00,           0.00
      70,   1261,   1251,   1262,      19,  -0.086,  -0.009,         0.0003,           0.00,           0.00
      71,   1252,   1269,   3266,      19,  -0.041,   0.001,         0.0001,           0.00,           0.00
      72,    539,   1264,   1275,      19,  -0.008,   0.001,         0.0000,           0.00,           0.00
      73,    548,   1276,   1280,      19,  -0.001,  -0.002,         0.0000,           0.00,           0.00
      74,    551,   1267,   1270,      19,  -0.001,  -0.016,         0.0000,           0.00,           0.00
      75,   1278,   3270,   1281,      19,  -0.016,  -0.032,         0.0001,           0.00,           0.00
      76,   1260,   1273,   1268,      19,  -0.030,  -0.049,         0.0003,           0.00,           0.00
      77,    238,    239,   1274,      19,  -0.087,  -0.057,         0.0005,           0.00,           0.00
      78,   1261,   1262,   3266,      19,  -0.063,  -0.007,         0.0002,           0.00,           0.00
      79,   1269,   1263,   1284,      19,  -0.023,  -0.005,         0.0001,           0.00,           0.00
      80,    548,    549,   1276,      19,   0.000,  -0.002,         0.0000,           0.00,           0.00
      81,   1270,   1271,   1277,      19,  -0.009,  -0.014,         0.0001,           0.00,           0.00
      82,   1257,   1278,   1267,      19,  -0.002,  -0.027,         0.0001,           0.00,           0.00
      83,   1260,   3269,   1273,      19,  -0.030,  -0.049,         0.0003,           0.00,           0.00
      84,   1261,   1279,   1274,      19,  -0.063,  -0.029,         0.0003,           0.00,           0.00
      85,   1262,   1252,   3266,      19,  -0.054,   0.004,         0.0001,           0.00,           0.00
      86,   1282,   1269,   1284,      19,  -0.029,  -0.011,         0.0001,           0.00,           0.00
      87,    549,   1266,   1276,      19,  -0.001,  -0.005,         0.0000,           0.00,           0.00
      88,   1257,   1283,   1278,      19,  -0.002,  -0.034,         0.0001,           0.00,           0.00
      89,   1279,   1261,   3266,      19,  -0.056,  -0.018,         0.0002,           0.00,           0.00
      90,   1264,   1276,   1266,      19,  -0.003,  -0.003,         0.0000,           0.00,           0.00
      91,    554,   1283,   1257,      19,   0.003,  -0.037,         0.0001,           0.00,           0.00
      92,   1259,   1283,   1272,      19,   0.004,  -0.053,         0.0001,           0.00,           0.00
      93,   1282,   3269,   1279,      19,  -0.039,  -0.028,         0.0002,           0.00,           0.00
      94,   1259,   1273,   3270,      19,  -0.030,  -0.049,         0.0003,           0.00,           0.00
