10 Solution 1 Rotate Step 0.0000
1 23818 ElementsTable

TriIndex, Node1 , Node2 , Node3 ,RegCode ,   Bx   ,   By   ,       A       ,       J       ,      Je       
  [-]   ,  [-]  ,  [-]  ,  [-]  ,        ,  [T]   ,  [T]   ,    [Wb/m]     ,    [A/m2]     ,    [A/m2]     
--------,-------,-------,-------, -------, -------, -------, --------------, --------------, --------------
       1,   1775,   1776,   1777,      26,  -0.502,   0.834,        -0.0502,   -52555459.49,           0.00
       2,   1775,   1777,   1904,      26,  -0.247,   0.787,        -0.0513,   -52555459.49,           0.00
       3,   1777,   1778,   1904,      26,  -0.335,   0.916,        -0.0509,   -52555459.49,           0.00
       4,   1778,   1905,   1904,      26,  -0.200,   0.776,        -0.0519,   -52555459.49,           0.00
       5,   1778,   1779,   1905,      26,  -0.224,   0.853,        -0.0516,   -52555459.49,           0.00
       6,   1779,   1906,   1905,      26,  -0.156,   0.736,        -0.0525,   -52555459.49,           0.00
       7,   1779,   1780,   1906,      26,  -0.154,   0.807,        -0.0523,   -52555459.49,           0.00
       8,   1780,   1781,   1906,      26,  -0.117,   0.693,        -0.0531,   -52555459.49,           0.00
       9,   1774,   1775,   1904,      26,  -0.326,   0.705,        -0.0506,   -52555459.49,           0.00
      10,   1774,   1904,   1907,      26,  -0.179,   0.765,        -0.0515,   -52555459.49,           0.00
      11,   1904,   1905,   1907,      26,  -0.247,   0.787,        -0.0513,   -52555459.49,           0.00
      12,   1905,   1908,   1907,      26,  -0.171,   0.737,        -0.0521,   -52555459.49,           0.00
      13,   1905,   1906,   1908,      26,  -0.200,   0.776,        -0.0519,   -52555459.49,           0.00
      14,   1906,   1909,   1908,      26,  -0.146,   0.694,        -0.0527,   -52555459.49,           0.00
      15,   1906,   1781,   1909,      26,  -0.156,   0.736,        -0.0525,   -52555459.49,           0.00
      16,   1781,   1782,   1909,      26,  -0.118,   0.656,        -0.0533,   -52555459.49,           0.00
      17,   1773,   1774,   1907,      26,  -0.150,   0.723,        -0.0509,   -52555459.49,           0.00
      18,   1773,   1907,   1910,      26,  -0.168,   0.777,        -0.0517,   -52555459.49,           0.00
      19,   1907,   1908,   1910,      26,  -0.179,   0.765,        -0.0515,   -52555459.49,           0.00
      20,   1908,   1911,   1910,      26,  -0.163,   0.716,        -0.0523,   -52555459.49,           0.00
      21,   1908,   1909,   1911,      26,  -0.171,   0.737,        -0.0521,   -52555459.49,           0.00
      22,   1909,   1912,   1911,      26,  -0.141,   0.662,        -0.0529,   -52555459.49,           0.00
      23,   1909,   1782,   1912,      26,  -0.146,   0.694,        -0.0527,   -52555459.49,           0.00
      24,   1782,   1783,   1912,      26,  -0.114,   0.624,        -0.0534,   -52555459.49,           0.00
      25,   1772,   1773,   1910,      26,  -0.107,   0.842,        -0.0510,   -52555459.49,           0.00
      26,   1772,   1910,   1913,      26,  -0.207,   0.767,        -0.0519,   -52555459.49,           0.00
      27,   1910,   1911,   1913,      26,  -0.168,   0.777,        -0.0517,   -52555459.49,           0.00
      28,   1911,   1914,   1913,      26,  -0.174,   0.686,        -0.0525,   -52555459.49,           0.00
      29,   1911,   1912,   1914,      26,  -0.163,   0.716,        -0.0523,   -52555459.49,           0.00
      30,   1912,   1915,   1914,      26,  -0.140,   0.627,        -0.0530,   -52555459.49,           0.00
      31,   1912,   1783,   1915,      26,  -0.141,   0.662,        -0.0529,   -52555459.49,           0.00
      32,   1783,   1760,   1915,      26,  -0.108,   0.591,        -0.0535,   -52555459.49,           0.00
      33,   1771,   1772,   1913,      26,  -0.208,   0.895,        -0.0512,   -52555459.49,           0.00
      34,   1771,   1913,   1916,      26,  -0.264,   0.699,        -0.0522,   -52555459.49,           0.00
      35,   1913,   1914,   1916,      26,  -0.207,   0.767,        -0.0519,   -52555459.49,           0.00
      36,   1914,   1917,   1916,      26,  -0.188,   0.629,        -0.0527,   -52555459.49,           0.00
      37,   1914,   1915,   1917,      26,  -0.174,   0.686,        -0.0525,   -52555459.49,           0.00
      38,   1915,   1918,   1917,      26,  -0.135,   0.580,        -0.0532,   -52555459.49,           0.00
      39,   1915,   1760,   1918,      26,  -0.140,   0.627,        -0.0530,   -52555459.49,           0.00
      40,   1760,   1761,   1918,      26,  -0.096,   0.553,        -0.0537,   -52555459.49,           0.00
      41,   1770,   1771,   1916,      26,  -0.362,   0.862,        -0.0515,   -52555459.49,           0.00
      42,   1770,   1916,   1919,      26,  -0.272,   0.572,        -0.0524,   -52555459.49,           0.00
      43,   1916,   1917,   1919,      26,  -0.264,   0.699,        -0.0522,   -52555459.49,           0.00
      44,   1917,   1920,   1919,      26,  -0.175,   0.547,        -0.0529,   -52555459.49,           0.00
      45,   1917,   1918,   1920,      26,  -0.188,   0.629,        -0.0527,   -52555459.49,           0.00
      46,   1918,   1921,   1920,      26,  -0.114,   0.523,        -0.0534,   -52555459.49,           0.00
      47,   1918,   1761,   1921,      26,  -0.135,   0.580,        -0.0532,   -52555459.49,           0.00
      48,   1761,   1762,   1921,      26,  -0.072,   0.512,        -0.0538,   -52555459.49,           0.00
      49,   1769,   1770,   1919,      26,  -0.468,   0.638,        -0.0520,   -52555459.49,           0.00
      50,   1769,   1919,   1922,      26,  -0.199,   0.439,        -0.0527,   -52555459.49,           0.00
      51,   1919,   1920,   1922,      26,  -0.272,   0.572,        -0.0524,   -52555459.49,           0.00
      52,   1920,   1923,   1922,      26,  -0.118,   0.464,        -0.0531,   -52555459.49,           0.00
      53,   1920,   1921,   1923,      26,  -0.175,   0.547,        -0.0529,   -52555459.49,           0.00
      54,   1921,   1924,   1923,      26,  -0.067,   0.469,        -0.0535,   -52555459.49,           0.00
      55,   1921,   1762,   1924,      26,  -0.114,   0.523,        -0.0534,   -52555459.49,           0.00
      56,   1762,   1763,   1924,      26,  -0.034,   0.474,        -0.0539,   -52555459.49,           0.00
      57,   1768,   1769,   1922,      26,  -0.364,   0.372,        -0.0524,   -52555459.49,           0.00
      58,   1767,   1768,   1922,      26,  -0.077,   0.347,        -0.0529,   -52555459.49,           0.00
      59,   1767,   1922,   1923,      26,  -0.199,   0.439,        -0.0527,   -52555459.49,           0.00
      60,   1766,   1767,   1923,      26,  -0.034,   0.402,        -0.0532,   -52555459.49,           0.00
      61,   1766,   1923,   1924,      26,  -0.118,   0.464,        -0.0531,   -52555459.49,           0.00
      62,   1765,   1766,   1924,      26,  -0.004,   0.431,        -0.0535,   -52555459.49,           0.00
      63,   1763,   1765,   1924,      26,  -0.067,   0.469,        -0.0535,   -52555459.49,           0.00
      64,   1763,   1764,   1765,      26,   0.010,   0.450,        -0.0539,   -52555459.49,           0.00
      65,   1799,   1800,   1801,      27,  -0.060,   0.686,        -0.0535,   -52555459.49,           0.00
      66,   1799,   1801,   1925,      27,  -0.073,   0.611,        -0.0541,   -52555459.49,           0.00
      67,   1801,   1802,   1925,      27,  -0.057,   0.633,        -0.0540,   -52555459.49,           0.00
      68,   1802,   1926,   1925,      27,  -0.060,   0.554,        -0.0546,   -52555459.49,           0.00
      69,   1802,   1803,   1926,      27,  -0.040,   0.571,        -0.0545,   -52555459.49,           0.00
      70,   1803,   1927,   1926,      27,  -0.049,   0.499,        -0.0550,   -52555459.49,           0.00
      71,   1803,   1804,   1927,      27,  -0.041,   0.516,        -0.0550,   -52555459.49,           0.00
      72,   1804,   1805,   1927,      27,  -0.041,   0.457,        -0.0554,   -52555459.49,           0.00
      73,   1798,   1799,   1925,      27,  -0.092,   0.659,        -0.0536,   -52555459.49,           0.00
      74,   1798,   1925,   1928,      27,  -0.074,   0.589,        -0.0542,   -52555459.49,           0.00
      75,   1925,   1926,   1928,      27,  -0.073,   0.611,        -0.0541,   -52555459.49,           0.00
      76,   1926,   1929,   1928,      27,  -0.059,   0.536,        -0.0547,   -52555459.49,           0.00
      77,   1926,   1927,   1929,      27,  -0.060,   0.554,        -0.0546,   -52555459.49,           0.00
      78,   1927,   1930,   1929,      27,  -0.047,   0.485,        -0.0551,   -52555459.49,           0.00
      79,   1927,   1805,   1930,      27,  -0.049,   0.499,        -0.0550,   -52555459.49,           0.00
      80,   1805,   1806,   1930,      27,  -0.038,   0.446,        -0.0555,   -52555459.49,           0.00
      81,   1797,   1798,   1928,      27,  -0.095,   0.630,        -0.0537,   -52555459.49,           0.00
      82,   1797,   1928,   1931,      27,  -0.070,   0.565,        -0.0543,   -52555459.49,           0.00
      83,   1928,   1929,   1931,      27,  -0.074,   0.589,        -0.0542,   -52555459.49,           0.00
      84,   1929,   1932,   1931,      27,  -0.054,   0.517,        -0.0548,   -52555459.49,           0.00
      85,   1929,   1930,   1932,      27,  -0.059,   0.536,        -0.0547,   -52555459.49,           0.00
