10 Solution 1 Rotate Step 0.0000
1 22690 ElementsTable

TriIndex, Node1 , Node2 , Node3 ,RegCode ,   Bx   ,   By   ,       A       ,       J       ,      Je       
  [-]   ,  [-]  ,  [-]  ,  [-]  ,        ,  [T]   ,  [T]   ,    [Wb/m]     ,    [A/m2]     ,    [A/m2]     
--------,-------,-------,-------, -------, -------, -------, --------------, --------------, --------------
       1,      2,    245,    680,      19,   0.030,  -0.088,         0.0001,           0.00,           0.00
       2,    246,    247,   1812,      19,  -0.028,  -0.097,         0.0008,           0.00,           0.00
       3,    249,      4,   1813,      19,  -0.075,  -0.068,         0.0011,           0.00,           0.00
       4,    251,    252,   1814,      19,  -0.095,  -0.017,         0.0007,           0.00,           0.00
       5,    254,      6,    657,      19,  -0.084,   0.041,        -0.0001,           0.00,           0.00
       6,    658,    659,   1815,      19,  -0.040,   0.019,         0.0000,           0.00,           0.00
       7,    661,    662,   1816,      19,  -0.013,   0.007,         0.0000,           0.00,           0.00
       8,    664,    665,   1827,      19,  -0.004,   0.002,         0.0000,           0.00,           0.00
       9,    668,      1,    669,      19,   0.000,   0.000,         0.0000,           0.00,           0.00
      10,    670,    671,   1818,      19,   0.000,   0.000,         0.0000,           0.00,           0.00
      11,    673,    674,   1819,      19,   0.003,  -0.009,         0.0000,           0.00,           0.00
      12,    676,    677,   1820,      19,   0.010,  -0.029,         0.0000,           0.00,           0.00
      13,    679,    680,   1821,      19,   0.022,  -0.077,         0.0001,           0.00,           0.00
      14,   1812,   1822,   1821,      19,  -0.009,  -0.069,         0.0005,           0.00,           0.00
      15,    249,   1813,   1823,      19,  -0.065,  -0.055,         0.0010,           0.00,           0.00
      16,    251,   1814,   1824,      19,  -0.085,  -0.009,         0.0006,           0.00,           0.00
      17,    657,    658,   1825,      19,  -0.065,   0.020,         0.0001,           0.00,           0.00
      18,    659,    660,   1815,      19,  -0.040,   0.019,         0.0000,           0.00,           0.00
      19,    661,   1816,   1826,      19,  -0.013,   0.005,         0.0000,           0.00,           0.00
      20,    663,    664,   1827,      19,  -0.004,   0.002,         0.0000,           0.00,           0.00
      21,    665,    666,   1817,      19,  -0.001,   0.000,         0.0000,           0.00,           0.00
      22,    669,    670,   1828,      19,   0.000,   0.000,         0.0000,           0.00,           0.00
      23,    671,    672,   1843,      19,   0.000,  -0.001,         0.0000,           0.00,           0.00
      24,    673,   1819,   1829,      19,   0.001,  -0.009,         0.0000,           0.00,           0.00
      25,    675,    676,   1830,      19,   0.007,  -0.024,         0.0000,           0.00,           0.00
      26,    677,    678,   1820,      19,   0.010,  -0.029,         0.0000,           0.00,           0.00
      27,    245,   1821,    680,      19,   0.013,  -0.082,         0.0003,           0.00,           0.00
      28,   1822,   1812,   1831,      19,  -0.022,  -0.067,         0.0006,           0.00,           0.00
      29,    249,   1823,   1831,      19,  -0.049,  -0.064,         0.0008,           0.00,           0.00
      30,      4,    250,   1813,      19,  -0.075,  -0.068,         0.0011,           0.00,           0.00
      31,    251,   1824,   1837,      19,  -0.076,  -0.029,         0.0008,           0.00,           0.00
      32,    252,    253,   1814,      19,  -0.095,  -0.017,         0.0007,           0.00,           0.00
      33,    254,    657,   1825,      19,  -0.079,   0.021,         0.0001,           0.00,           0.00
      34,    658,   1815,   1825,      19,  -0.054,   0.013,         0.0001,           0.00,           0.00
      35,    661,   1826,   1832,      19,  -0.022,   0.001,         0.0001,           0.00,           0.00
      36,    662,    663,   1816,      19,  -0.013,   0.007,         0.0000,           0.00,           0.00
      37,    665,   1817,   1827,      19,  -0.003,   0.000,         0.0000,           0.00,           0.00
      38,    668,    669,   1828,      19,   0.000,   0.000,         0.0000,           0.00,           0.00
      39,    670,   1818,   1828,      19,   0.000,   0.000,         0.0000,           0.00,           0.00
      40,   1829,   1819,   1833,      19,  -0.002,  -0.010,         0.0000,           0.00,           0.00
      41,   1830,   1834,   1833,      19,  -0.005,  -0.018,         0.0001,           0.00,           0.00
      42,    678,    679,   1835,      19,   0.015,  -0.058,         0.0000,           0.00,           0.00
      43,    245,    246,   1821,      19,   0.014,  -0.097,         0.0004,           0.00,           0.00
      44,   1822,   1831,   1836,      19,  -0.029,  -0.049,         0.0005,           0.00,           0.00
      45,    247,    248,   1812,      19,  -0.028,  -0.097,         0.0008,           0.00,           0.00
      46,   1823,   1813,   1837,      19,  -0.065,  -0.055,         0.0010,           0.00,           0.00
      47,    253,    254,   1825,      19,  -0.097,  -0.004,         0.0005,           0.00,           0.00
      48,    660,    661,   1832,      19,  -0.027,   0.007,         0.0000,           0.00,           0.00
      49,   1826,   1816,   1838,      19,  -0.013,   0.005,         0.0000,           0.00,           0.00
      50,   1827,   1817,   1839,      19,  -0.003,  -0.001,         0.0000,           0.00,           0.00
      51,    667,    668,   1828,      19,   0.000,   0.000,         0.0000,           0.00,           0.00
      52,   1829,   1833,   1840,      19,  -0.007,  -0.010,         0.0001,           0.00,           0.00
      53,    674,    675,   1819,      19,   0.003,  -0.009,         0.0000,           0.00,           0.00
      54,   1834,   1830,   1841,      19,  -0.007,  -0.023,         0.0001,           0.00,           0.00
      55,    678,   1835,   1846,      19,   0.005,  -0.053,         0.0002,           0.00,           0.00
      56,    679,   1821,   1835,      19,   0.005,  -0.053,         0.0002,           0.00,           0.00
      57,    246,   1812,   1821,      19,  -0.008,  -0.084,         0.0005,           0.00,           0.00
      58,    248,   1831,   1812,      19,  -0.034,  -0.065,         0.0007,           0.00,           0.00
      59,   1823,   1837,   1842,      19,  -0.055,  -0.039,         0.0007,           0.00,           0.00
      60,   1814,    253,   1825,      19,  -0.085,  -0.009,         0.0006,           0.00,           0.00
      61,   1815,    660,   1832,      19,  -0.036,   0.008,         0.0001,           0.00,           0.00
      62,    663,   1838,   1816,      19,  -0.013,   0.005,         0.0000,           0.00,           0.00
      63,    671,   1843,   1818,      19,  -0.001,  -0.002,         0.0000,           0.00,           0.00
      64,    675,   1833,   1819,      19,   0.001,  -0.009,         0.0000,           0.00,           0.00
      65,   1834,   1841,   1844,      19,  -0.013,  -0.025,         0.0002,           0.00,           0.00
      66,    676,   1820,   1830,      19,   0.003,  -0.025,         0.0001,           0.00,           0.00
      67,   1821,   1822,   1835,      19,  -0.002,  -0.060,         0.0003,           0.00,           0.00
      68,    248,    249,   1831,      19,  -0.045,  -0.090,         0.0010,           0.00,           0.00
      69,    250,   1837,   1813,      19,  -0.065,  -0.055,         0.0010,           0.00,           0.00
      70,   1824,   1814,   1825,      19,  -0.085,  -0.009,         0.0006,           0.00,           0.00
      71,   1815,   1832,   5189,      19,  -0.041,   0.001,         0.0002,           0.00,           0.00
      72,    663,   1827,   1838,      19,  -0.008,   0.001,         0.0000,           0.00,           0.00
      73,    672,   1839,   1843,      19,  -0.001,  -0.002,         0.0000,           0.00,           0.00
      74,    675,   1830,   1833,      19,  -0.001,  -0.016,         0.0001,           0.00,           0.00
      75,   1841,   5195,   1844,      19,  -0.016,  -0.032,         0.0003,           0.00,           0.00
      76,   1823,   1836,   1831,      19,  -0.029,  -0.049,         0.0005,           0.00,           0.00
      77,    250,    251,   1837,      19,  -0.086,  -0.057,         0.0010,           0.00,           0.00
      78,   1824,   1825,   5189,      19,  -0.063,  -0.007,         0.0004,           0.00,           0.00
      79,   1832,   1826,   1847,      19,  -0.023,  -0.005,         0.0001,           0.00,           0.00
      80,    672,    673,   1839,      19,   0.000,  -0.002,         0.0000,           0.00,           0.00
      81,   1833,   1834,   1840,      19,  -0.009,  -0.014,         0.0001,           0.00,           0.00
      82,   1820,   1841,   1830,      19,  -0.001,  -0.027,         0.0001,           0.00,           0.00
      83,   1823,   5194,   1836,      19,  -0.029,  -0.049,         0.0005,           0.00,           0.00
      84,   1824,   1842,   1837,      19,  -0.062,  -0.029,         0.0006,           0.00,           0.00
      85,   1825,   1815,   5189,      19,  -0.054,   0.004,         0.0002,           0.00,           0.00
      86,   1845,   1832,   1847,      19,  -0.028,  -0.011,         0.0002,           0.00,           0.00
      87,    673,   1829,   1839,      19,  -0.001,  -0.005,         0.0000,           0.00,           0.00
      88,   1820,   1846,   1841,      19,  -0.002,  -0.034,         0.0002,           0.00,           0.00
      89,   1842,   1824,   5189,      19,  -0.056,  -0.018,         0.0005,           0.00,           0.00
      90,   1827,   1839,   1829,      19,  -0.003,  -0.003,         0.0000,           0.00,           0.00
      91,    678,   1846,   1820,      19,   0.004,  -0.037,         0.0001,           0.00,           0.00
      92,   1822,   1846,   1835,      19,   0.005,  -0.053,         0.0002,           0.00,           0.00
      93,   1845,   5194,   1842,      19,  -0.039,  -0.028,         0.0004,           0.00,           0.00
      94,   1822,   1836,   5195,      19,  -0.029,  -0.049,         0.0005,           0.00,           0.00
