case,speed,beta,irms
1,1000,0,0.1
2,1000,22.5,0.1
3,1000,45,0.1
4,1000,67.5,0.1
5,1000,90,0.1
6,1000,0,92.1
7,1000,22.5,92.1
8,1000,45,92.1
9,1000,67.5,92.1
10,1000,90,92.1
11,1000,0,184.1
12,1000,22.5,184.1
13,1000,45,184.1
14,1000,67.5,184.1
15,1000,90,184.1
16,1000,0,276.1
17,1000,22.5,276.1
18,1000,45,276.1
19,1000,67.5,276.1
20,1000,90,276.1
21,1000,0,368.1
22,1000,22.5,368.1
23,1000,45,368.1
24,1000,67.5,368.1
25,1000,90,368.1
26,1000,0,460.1
27,1000,22.5,460.1
28,1000,45,460.1
29,1000,67.5,460.1
30,1000,90,460.1
